provincia,comune,numero_fascicolo,regione,indirizzo,stato,cup,tipologia_beneficiario,tipologia_intervento,importo_richiesto,importo_concesso,importo_liquidato,flag_superbonus,area_kmq,popolazione_residente,pro_com_t,url_opencup
AQ,CAPITIGNANO,1306602100000149602020,ABRUZZO,VIA SAN CARLO,Chiuso,B93E22000920008,Delegato,RCR-CI-L0,43838.07,43742.55,47096.78,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000920008
AQ,CAPITIGNANO,1306602100000025322019,ABRUZZO,PIAZZA DEL MUNICIPIO,Chiuso,B93E23000440001,Singolo Proprietario,RCR-CI-L0,25547.45,24997.34,28158.62,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000440001
AQ,CAPITIGNANO,1306602100000006042018,ABRUZZO,via Angelo Maria Ricci,Chiuso,B91G19000610001,Delegato di condominio non registrato,RCR-CI-L0,143550.84,139190.87,82706.05,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G19000610001
AQ,CAPITIGNANO,1306602100000007112018,ABRUZZO,VIA ROMA,Chiuso,B91G19000220001,,RCR-CI-L0,16564.2,15901.01,14635.75,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B91G19000220001
AQ,CAPITIGNANO,1306602100000000712017,ABRUZZO,VIA STRADA N 8,Chiuso,B42I24000020001,Singolo Proprietario,RCR-CI-L0,80769.27,80769.27,80248.82,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B42I24000020001
AQ,CAPITIGNANO,1306602100000212012021,ABRUZZO,LOCALITA PRATOROSOLO,Aperto,B98I21001590001,Singolo Proprietario,RCR-CI-RES,688480.22,685587.21,619458.49,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21001590001
AQ,CAPITIGNANO,1306602100000144072020,ABRUZZO,VIA SAN DOMENICO,Chiuso,B93E22001360001,Singolo Proprietario,RCR-CI-L0,32675.08,31893.64,35660.62,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22001360001
AQ,CAPITIGNANO,1306602100000148332020,ABRUZZO,Via Capo Croce,Chiuso,B93E24000100001,Singolo Proprietario,RCR-CI-L0,178553.65,178430.69,164131.01,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E24000100001
AQ,CAPITIGNANO,1306602100000147572020,ABRUZZO,VIA DELLE CAPANNELLE,Chiuso,B93E23000310001,Delegato,RCR-CI-L0,186180.67,185578.59,199996.7,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000310001
AQ,CAPITIGNANO,1306602100000150532020,ABRUZZO,Via Angelo Maria Ricci,Chiuso,B93E23000950001,Singolo Proprietario,RCR-CI-L0,96228.66,78802.32,82049.54,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000950001
AQ,CAPITIGNANO,1306602100000003692017,ABRUZZO,via Roma,Aperto,B93E23000790008,,RCR-CI-L0,160410.02,155835.89,81263.47,si,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000790008
AQ,CAPITIGNANO,1306602100000143372020,ABRUZZO,Via della repubblica,Chiuso,B93E23000590001,Singolo Proprietario,RCR-CI-L0,49478.41,50944.13,46230.19,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000590001
AQ,CAPITIGNANO,1306602100000004532017,ABRUZZO,VIA DEI CASSIANI,Chiuso,B93E22000670001,Delegato di condominio non registrato,RCR-CI-L0,75699.1,75105.13,83334.37,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000670001
AQ,CAPITIGNANO,1306602100000002662017,ABRUZZO,VIA ROMA,Chiuso,B93E23000380001,Singolo Proprietario,RCR-CI-L0,185486.22,66798.98,66798.98,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000380001
AQ,CAPITIGNANO,1306602100000025792019,ABRUZZO,VIA SAN DOMENICO FRAZ.NE MOPOLINO,Chiuso,B93E22000710001,Singolo Proprietario,RCR-CI-RES,368364.77,431241.04,422387.19,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000710001
AQ,CAPITIGNANO,1306602100000017112018,ABRUZZO,VIA DI SOPRA,Chiuso,B93E22000590001,Singolo Proprietario,RCR-CI-L0,60931.49,59538.47,59479.88,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E22000590001
AQ,CAPITIGNANO,1306602100000003162017,ABRUZZO,Via Capo Croce,Chiuso,B98I21000380001,,RCR-CI-L0,123767.89,122755.78,120659.2,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B98I21000380001
AQ,CAPITIGNANO,1306602100000399672022,ABRUZZO,Via dei Campi,Aperto,B93E23000170001,Delegato di condominio non registrato,RCR-CI-L0,196825.92,0,0,no,30.6391,623,066021,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93E23000170001
