Bangladesh,830,2020-05-15
Costa d'Avorio,571,2020-05-15
Sudan,390,2020-05-15
Algeria,323,2020-05-15
Marocco,309,2020-05-15
Tunisia,270,2020-05-15
Somalia,211,2020-05-15
Guinea,206,2020-05-15
Mali,162,2020-05-15
Egitto,88,2020-05-15
altre*,877,2020-05-15
