Afghanistan,7.241,2022-12-31
Costa d'Avorio,5.973,2022-12-31
Guinea,4.473,2022-12-31
Pakistan,3.188,2022-12-31
Iran,2.326,2022-12-31
Eritrea,2.101,2022-12-31
altre*,17.561,2022-12-31
