regione,provincia,comune,rcr_presentate,rcr_approvate,importo_richiesto,importo_concesso,importo_liquidato,cantieri_in_corso,cantieri_chiusi,cod_istat_comune
Marche,Pesaro e Urbino,Cagli,14,8,2966403.72,1801852.9300000002,1412201.5899999999,1,5,041007
Marche,Pesaro e Urbino,Cantiano,1,1,199983.47,179580.13,179580.13,0,1,041008
Marche,Pesaro e Urbino,Fossombrone,3,1,937070.66,521805.03,521805.03,0,1,041015
Marche,Pesaro e Urbino,Frontone,2,2,686676.11,729437.85,474290.67,2,0,041018
Marche,Pesaro e Urbino,Mondavio,3,1,354168.99,351381.96,351381.96,0,1,041028
Marche,Pesaro e Urbino,Pergola,33,26,4028204.8,3098448.27,2890947.63,1,25,041043
Marche,Pesaro e Urbino,San Lorenzo in Campo,4,4,645199.99,607030.34000000008,483336.81,1,3,041054
Marche,Pesaro e Urbino,Sant'Ippolito,3,2,2026257.76,2045032.01,1575355.61,0,1,041058
Marche,Pesaro e Urbino,Serra Sant'Abbondio,9,8,2698551.3,2625297.4,1119087.73,4,4,041061
Marche,Pesaro e Urbino,Urbino,1,1,6325034.1100000003,9177888.2200000007,7538392.9000000004,0,1,041067
Marche,Pesaro e Urbino,Vallefoglia,1,1,622446.27,646329.67000000004,490900.53,1,0,041068
Marche,Ancona,Agugliano,3,2,1499775.44,956083.97,632581.66,2,0,042001
Marche,Ancona,Ancona,15,10,14139599.84,9649933.1499999985,6302692.8300000001,3,7,042002
Marche,Ancona,Arcevia,18,8,4116482.29,2062235.12,1215363.31,2,5,042003
Marche,Ancona,Barbara,1,0,395526.97,0,0,0,0,042004
Marche,Ancona,Belvedere Ostrense,2,2,976526.57,787079.24,787079.24,0,2,042005
Marche,Ancona,Camerano,4,2,11191953.26,1305104.8799999999,672273.23,2,0,042006
Marche,Ancona,Castelbellino,6,4,1594493.3900000001,1063857.01,894521.83000000007,0,3,042008
Marche,Ancona,Castelfidardo,3,1,775570.01,358079.55,358079.55,0,1,042010
Marche,Ancona,Castelleone di Suasa,6,4,1245731.8799999999,646060.48,511802.07,0,4,042011
Marche,Ancona,Castelplanio,14,11,5521331.9900000002,5241245.99,4833438.8199999994,1,9,042012
Marche,Ancona,Cerreto d'Esi,95,60,25445494.34,19896338.050000001,13601263.190000001,15,40,042013
Marche,Ancona,Cupramontana,43,31,22078895.619999997,19720740.460000001,10651504.800000001,11,18,042016
Marche,Ancona,Fabriano,263,191,206236885.25,151283372.47999999,89108833.120000005,69,113,042017
Marche,Ancona,Falconara Marittima,1,1,181166.44,165812.22,165812.22,0,1,042018
Marche,Ancona,Filottrano,18,15,15820404.32,16019492.66,11640301.1,6,9,042019
Marche,Ancona,Genga,31,23,5514338.3000000007,4438261.51,4553611.28,3,19,042020
Marche,Ancona,Jesi,6,5,4373872.12,4120630.8899999997,2082785.75,1,4,042021
Marche,Ancona,Loreto,1,1,217104.93,76104.600000000006,76104.600000000006,0,1,042022
Marche,Ancona,Maiolati Spontini,10,8,7206812.2999999998,6588460.1600000001,6389778.9899999993,0,8,042023
Marche,Ancona,Mergo,4,4,706987.82000000007,692036.55,520031.88,2,2,042024
Marche,Ancona,Monsano,1,1,1309600.3899999999,1499821.62,1045080.94,1,0,042025
Marche,Ancona,Montecarotto,1,1,701347.39,625041.22,625041.22,0,1,042026
Marche,Ancona,Monte Roberto,12,6,3361596.03,2131449.4300000002,2043151.2200000002,0,6,042029
Marche,Ancona,Monte San Vito,9,7,2698033.25,2108648.91,1689452.02,3,4,042030
Marche,Ancona,Morro d'Alba,3,2,1377160.45,855704.23,776027.91,1,1,042031
Marche,Ancona,Offagna,1,1,248113.77,228036.18,196557.58,0,1,042033
Marche,Ancona,Osimo,13,8,24587195.41,16822019.969999999,7993319.6799999997,7,1,042034
Marche,Ancona,Ostra,8,4,6709123.4900000002,4669154.22,3923634.39,1,3,042035
Marche,Ancona,Ostra Vetere,2,2,666373.02,595310.80000000005,157886.51999999999,1,1,042036
Marche,Ancona,Poggio San Marcello,3,2,134380.10999999999,132173,138825.60999999999,0,2,042037
Marche,Ancona,Polverigi,1,1,11796.49,11770.16,11770.16,0,1,042038
Marche,Ancona,Rosora,6,5,7467805.6199999992,6228332.3700000001,3075634.3400000003,3,2,042040
Marche,Ancona,San Marcello,3,2,653087.93999999994,311772.68,898091.5,0,2,042041
Marche,Ancona,San Paolo di Jesi,11,7,2051917.66,2110547.21,1313945.1300000001,2,5,042042
Marche,Ancona,Santa Maria Nuova,4,3,1174191.05,1138944.8400000001,1418353.8,0,3,042043
Marche,Ancona,Sassoferrato,40,33,7671146.0299999993,6677175.9700000007,6607798.2200000007,2,30,042044
Marche,Ancona,Senigallia,2,1,1212312.96,1095886.2,672289.2,1,0,042045
Marche,Ancona,Serra de' Conti,6,3,9513599.8300000001,328539.11,559840.18999999994,0,3,042046
Marche,Ancona,Serra San Quirico,40,22,15639784.569999998,10270294.4,5482128.0699999994,10,12,042047
Marche,Ancona,Sirolo,2,1,1599060.86,1572053.15,1572053.15,0,1,042048
Marche,Ancona,Staffolo,46,32,20904209.290000003,17078965.23,12049646.660000002,13,18,042049
Marche,Macerata,Apiro,196,135,61263801.290000007,51334937.100000001,33090471.539999999,49,80,043002
Marche,Macerata,Appignano,57,40,39453108.210000001,20665101.560000002,16388658.85,11,29,043003
Marche,Macerata,Belforte del Chienti,131,99,53381251.289999999,43309889.929999992,32717136.390000001,26,70,043004
Marche,Macerata,Bolognola,65,48,26846457.140000001,18088015.619999997,11293290.130000001,19,23,043005
Marche,Macerata,Caldarola,286,204,169963195.68000001,134045784.75999999,84190744.939999998,93,101,043006
Marche,Macerata,Camerino,992,708,855178513.55999994,615536723.11000001,364185536.02999997,305,369,043007
Marche,Macerata,Camporotondo di Fiastrone,95,70,49387961.160000004,40049922.469999999,26884604.329999998,34,34,043008
Marche,Macerata,Castelraimondo,301,216,181279623.15000001,140962098.98000002,78574597.469999999,83,127,043009
Marche,Macerata,Castelsantangelo sul Nera,153,82,192813316.72,68280352.069999993,33418276.969999999,54,21,043010
Marche,Macerata,Cessapalombo,141,94,58171703.949999996,38058075.170000002,21500975.440000001,35,54,043011
Marche,Macerata,Cingoli,330,241,134185559.41999999,107232657.55000001,71321371.340000004,72,162,043012
Marche,Macerata,Civitanova Marche,6,6,11254830.129999999,11276773.890000001,6654940.71,3,3,043013
Marche,Macerata,Colmurano,124,85,51447750.519999996,35356475.579999998,22423661.57,50,32,043014
Marche,Macerata,Corridonia,215,151,93027759.5,62256893.589999996,38616690.899999999,50,96,043015
Marche,Macerata,Esanatoglia,129,102,27782488.530000001,22727114.48,16532214.350000001,17,85,043016
Marche,Macerata,Fiastra,428,307,163475974.57000002,123962028.37,83016697.949999988,114,183,043017
Marche,Macerata,Fiuminata,87,62,18922574.809999999,13421591.85,9125381.3499999996,15,44,043019
Marche,Macerata,Gagliole,101,72,74190567.840000004,55625321.149999999,31111279.279999997,29,40,043020
Marche,Macerata,Gualdo,200,128,74717948.049999997,57876980.260000005,36962492.68,53,69,043021
Marche,Macerata,Loro Piceno,139,99,61200558.300000004,42567896.370000005,28516037.57,35,60,043022
Marche,Macerata,Macerata,481,348,469621021.25999999,326009492,191095405.28,144,181,043023
Marche,Macerata,Matelica,336,240,251020844.24000001,180993368.21000001,123255385.28999999,80,146,043024
Marche,Macerata,Mogliano,149,109,52750981.920000002,34016641.5,23816977.25,35,71,043025
Marche,Macerata,Montecassiano,51,34,25120493.039999999,13286279.32,7888206.1899999995,15,17,043026
Marche,Macerata,Monte Cavallo,58,38,18920754,11997936.550000001,7040653.7399999993,9,27,043027
Marche,Macerata,Montecosaro,19,8,4147512.12,2476752.2000000002,1773232.29,5,3,043028
Marche,Macerata,Montefano,33,25,22077680.07,15260797.130000001,5961716.1899999995,7,15,043029
Marche,Macerata,Montelupone,53,41,22734642.050000001,17259842.73,13193592.029999997,15,25,043030
Marche,Macerata,Monte San Giusto,50,28,29072110.100000001,20685526.650000002,12397390.42,15,13,043031
Marche,Macerata,Monte San Martino,92,59,41975944.809999995,30245630.439999998,15939458.779999999,28,29,043032
Marche,Macerata,Morrovalle,61,41,29447199.530000001,19832658.649999999,14078118.74,15,23,043033
Marche,Macerata,Muccia,270,200,236032337.34999999,180695782.36999997,119588326.32000001,109,85,043034
Marche,Macerata,Penna San Giovanni,128,88,41417851.670000002,32662979.050000001,20866661.780000001,34,52,043035
Marche,Macerata,Petriolo,90,64,34218600.790000007,22073939.25,15362435.810000002,21,42,043036
Marche,Macerata,Pieve Torina,575,364,371294664.56,268997856.02000004,153724476.53,183,158,043038
Marche,Macerata,Pioraco,175,143,64863188.489999995,56893848.350000001,36220292.859999999,42,98,043039
Marche,Macerata,Poggio San Vicino,15,13,3478459.4800000004,3626986.15,1174172.33,5,8,043040
Marche,Macerata,Pollenza,221,156,96680569.25999999,75661934.089999989,50010280.170000002,72,80,043041
Marche,Macerata,Porto Recanati,5,3,480017.05,286774.40000000002,171789.2,2,1,043042
Marche,Macerata,Potenza Picena,24,22,30008763.280000001,29354147.869999997,10562600.35,10,11,043043
Marche,Macerata,Recanati,50,37,33350250.919999998,27081492.75,20759333.370000001,13,22,043044
Marche,Macerata,Ripe San Ginesio,71,49,21725800.149999999,17445829.140000001,13938406.750000002,10,33,043045
Marche,Macerata,San Ginesio,724,539,327773504.73000008,260275457.16,175524077.95000002,201,316,043046
Marche,Macerata,San Severino Marche,965,766,558830470.44000006,470816691.51999998,337409521.02000004,245,507,043047
Marche,Macerata,Sant'Angelo in Pontano,193,140,74419655.640000001,62679294.920000002,40294474.520000003,51,85,043048
Marche,Macerata,Sarnano,551,416,209498919.44999999,160562624.55000001,105016281.75000001,143,257,043049
Marche,Macerata,Sefro,68,50,10117368.890000001,7783444.8399999999,6189226.0199999996,7,43,043050
Marche,Macerata,Serrapetrona,164,136,63450670.159999996,53862883.189999998,39334115.399999999,50,79,043051
Marche,Macerata,Serravalle di Chienti,116,92,21977327.850000001,16874620.120000001,13719379.129999999,11,77,043052
Marche,Macerata,Tolentino,1400,979,1096351268.3800001,794738081.20000005,508964710.38,418,516,043053
Marche,Macerata,Treia,310,233,163239629.77999997,113814357.25,81736817.760000005,85,143,043054
Marche,Macerata,Urbisaglia,84,61,31224115.52,23268318.350000001,15358722.859999999,25,31,043055
Marche,Macerata,Ussita,366,234,482006461.07999998,301891060.5,159390707.06999999,153,56,043056
Marche,Macerata,Visso,397,296,336766386.97000003,228287570.34000003,137214204.94,139,147,043057
Marche,Macerata,Valfornace,434,280,224710978.36000001,161972657.31,93133788.939999998,128,140,043058
Marche,Ascoli Piceno,Acquasanta Terme,621,487,307191100.46999997,259651239.64999998,231547943.08000001,161,312,044001
Marche,Ascoli Piceno,Acquaviva Picena,18,11,13008586.610000001,10339100.189999999,4207768.57,6,5,044002
Marche,Ascoli Piceno,Appignano del Tronto,109,81,44309426.310000002,32382818.290000003,23526263.620000001,23,56,044005
Marche,Ascoli Piceno,Arquata del Tronto,444,334,370810173.14999998,274562108.38999999,157766615.50999999,155,153,044006
Marche,Ascoli Piceno,Ascoli Piceno,1151,854,761544270.70999992,592327109.43000007,394289333.44,297,508,044007
Marche,Ascoli Piceno,Carassai,26,22,8311268.7400000002,7411819.7199999997,5731295.25,5,16,044010
Marche,Ascoli Piceno,Castel di Lama,177,142,83090521.480000004,79690275.570000008,65902508.300000004,29,108,044011
Marche,Ascoli Piceno,Castignano,139,107,52233178.100000001,43904822.570000008,25647859.590000004,39,63,044012
Marche,Ascoli Piceno,Castorano,48,40,17186384.539999999,13712634.17,16735089.93,11,27,044013
Marche,Ascoli Piceno,Colli del Tronto,40,33,18137391.300000001,14147542.67,9217443.3200000003,4,26,044014
Marche,Ascoli Piceno,Comunanza,174,138,74722595.310000002,60673850.57,38591421.390000001,50,81,044015
Marche,Ascoli Piceno,Cossignano,83,55,26112171.780000001,19562850.75,11908884.57,16,38,044016
Marche,Ascoli Piceno,Cupra Marittima,4,2,6087162.8799999999,2299482.7600000002,785243.64999999991,1,1,044017
Marche,Ascoli Piceno,Folignano,113,88,51507668.759999998,38453263.309999995,27672735.899999999,16,68,044020
Marche,Ascoli Piceno,Force,162,124,76553007.710000008,64330097.489999995,41243593.410000004,44,72,044021
Marche,Ascoli Piceno,Grottammare,14,9,12153602.67,12174847.23,9782580.7400000002,3,6,044023
Marche,Ascoli Piceno,Maltignano,99,60,29719500.77,21908548.260000002,15573483.5,20,36,044027
Marche,Ascoli Piceno,Massignano,5,3,1094530.77,1267968.1499999999,541366.37,2,1,044029
Marche,Ascoli Piceno,Monsampolo del Tronto,31,17,38525625.780000001,9467062.75,6700522.3900000006,5,10,044031
Marche,Ascoli Piceno,Montalto delle Marche,94,81,56932617.539999999,41386183.840000004,25684116.300000001,30,49,044032
