cup,cig,oggetto_gara,data_pubblicazione_gara,tipo_scelta_contraente,ente,aggiudicatario,cf_aggiudicatario,importo_base_asta,importo_aggiudicazione
B11B23000110001,A0059785CC,"AFFIDAMENTO DIRETTO AI SENSI DELL'ARTICOLO 50, COMMA 1, LETT. B), DEL D.LGS. N. 36/2023, DEI SERVIZI DI PROGETTAZIONE DI FATTIBILITA' TECNICO ECONOMICA ED ESECUTIVA, CON RISERVA DI AFFIDAMENTO DELLA DIREZIONE LAVORI - REALIZZAZIONE BRETELLA IN GELAGNA ALTA",2023-08-18,AFFIDAMENTO DIRETTO,,,,131590.13,
B11B23000110001,B58E8B8EE5,"AFFIDAMENTO DIRETTO AI SENSI DELLARTICOLO 50, COMMA 1, LETT. B), DEL D.LGS. N. 36/2023, DEL SERVIZIO DI REALIZZAZIONE DI RILIEVO TOPOGRAFICO CON SEZIONI TRASVERSALI E PER EVENTUALE REALIZZAZIONE DI FRAZIONAMENTO.OPERA: REALIZZAZIONE BRETELLA FRAZIONE GELAGNA ALTA CON SOTTOSERVIZI E CONSOLIDAMENTO DI MONTE E DI VALLE.",2025-02-11,AFFIDAMENTO DIRETTO,,,,13335.0,13335.0
B12B22000110001,97350934E2,RIFACIMENTO DELLA COPERTURA E RIQUALIFICAZIONE INTERNA DEL LOCALE A DESTINAZIONE ATTIVITu00C0 COMMERCIALE NEL COMUNE DI SERRAVALLE DI CHIENTI (MC) - FRAZIONE DI CESI - VIA MARCHE SNS,2023-03-27,AFFIDAMENTO DIRETTO,,,,50120.98,
B12B22000110001,B45009EF44,RIFACIMENTO DELLA COPERTURA E RIQUALIFICAZIONE INTERNA DEL LOCALE A DESTINAZIONE ATTIVITu00C0 COMMERCIALE FRAZIONE CESI- VIA MARCHE SN - MONTAGGIO DELLA BUSSOLA E DELLA STRUTTURA ESTERNA,2024-11-18,AFFIDAMENTO DIRETTO,,LAPUCCI ANTONIO E C. SNC,01294030430,655.76,655.76
B12B22000110001,Z2F361CFA1,"PER LA PROGETTAZIONE DEFINITIVA ED ESECUTIVA ARCHITETTONICA, STRUTTURALE, COORDINAMENTO DELLA SICUREZZA, DIREZIONE LAVORI E CERTIFICATO REGOLARE ESECUZIONE,?RIFACIMENTO DELLA COPERTURA E RIQUALIFICAZIONE INTERNA DEL LOCALE A DESTINAZIONE ATTIVITÀ COMMERCIALE NEL COMUNE DI SERRAVALLE (MC) - FRAZIONE DI CESI",2022-04-22,AFFIDAMENTO DIRETTO,,,,12592.0,
B12B22000110001,Z3B3A036B3,"INDAGINE GEOLOGICA, GEOTECNICA E SISMICA CON RSL PER LAVORI DI REALIZZAZIONE PERGOLATO IN ACCIAIO A SERVIZIO DI ATTIVITA? COMMERCIALE ESISTENTE IN FRAZ: CESI",2023-02-17,AFFIDAMENTO DIRETTO,,,,2250.8,
B12C18000160001,A0056E779F,"INCARICO DI PROGETTAZIONE DI FATTIBILITA' TECNICA - ECONOMICA,ESECUTIVA, CON RISERVA DI DIREZIONE LAVORI, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE - RIPARAZIONE DANNI SU N.2 CAPPELLINE CIMITERIALI ALL'INTERNO DEL CIVICO CIMITERO DI CESI",2023-08-18,AFFIDAMENTO DIRETTO,,,,40174.32,
B12C18000170001,A00573EF68,"INCARICO DEI SERVIZI DI PROGETTAZIONE DI FATTIBILITA' TECNICO ECONOMICA ED ESECUTIVA, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE CON RISERVA DI AFFIDAMENTO DELLA DIREZIONE LAVORI, CONTABILITA', E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE - RIPRAZIONE DANNI EX ASILO",2023-08-18,AFFIDAMENTO DIRETTO,,,,66401.15,
B12C18000170001,B91E1B0488,SISMA 2016 RIPARAZIONE DANNI EDIFICIO EX SCUOLA ASILO SEDE PROLOCO - ESECUZIONE DI UN INDAGINE GEOLOGICA GEOTECNICA E SISMICA,2025-11-17,AFFIDAMENTO DIRETTO,,,,5201.25,5201.25
B12C18000170001,B9DAC22AE4,SISMA 2016 RIPARAZIONE DANNI EDIFICIO EX SCUOLA ASILO SEDE PROLOCO ESECUZIONE DI INDAGINI GEOTECNICHE E GEOFISICHE,2026-01-02,AFFIDAMENTO DIRETTO,,,,9500.0,9500.0
B12E20000110001,A005990999,"AFFIDAMENTO DIRETTO AI SENSI DELL'ARTICOLO 50, COMMA 1, LETT. B), DEL D.LGS. N. 36/2023, DEI SERVIZI DI PROGETTAZIONE DI FATTIBILITA' TECNICO ECONOMICA ED ESECUTIVA,COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZONE CON RISERVA DI AFFIDAMENTO DELLA DIREZIONE LAVORI, CONTABILITA' , COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE - SEDE COMUNALE",2023-08-18,AFFIDAMENTO DIRETTO,,,,138435.45,
B12E20000110001,B8031165C0,"SISMA 2016 -RIPARAZIONE DANNI SEDE COMUNALE AFFIDAMENTO DIRETTO AI SENSI DELLARTICOLO 50, COMMA 1, LETT. B), DEL D.LGS. N. 36/2023, PER L'ESECUZIONE DI UN'INDAGINE GEOLOGICA, MODELLAZIONE GEOTECNICA, CARATTERIZZAZIONE SISMICA E STUDIO DI RISPOSTA SISMICA LOCALE",2025-08-25,AFFIDAMENTO DIRETTO,,,,9040.29,9040.29
B12E20000110001,B816AE5C48,ESECUZIONE DI INDAGINI GEOTECNICHE E GEOFISICHE - RIPARAZIONE DANNI SEDE COMUNALE,2025-09-01,AFFIDAMENTO DIRETTO,,GECO S.R.L.,02541280422,2050.0,2050.0
