cup,anno,importo_pagato
B37H21004590001,2025,29528.71
B37H21004630001,2024,444.08
B37H21004640001,2024,444.08
B38D18000020002,2020,1570.62
B38D18000020002,2021,89219.63
B38D18000020002,2022,28932.44
B38D18000020002,2023,167569.32
B38D18000020002,2024,910094.32
B38D18000020002,2025,1493430.97
B39G18000000002,2020,13523.38
B39G18000000002,2021,44809.97
B39G18000000002,2022,54093.49
B39G18000000002,2023,882.08
B39G18000000002,2024,231989.67
B39G18000000002,2025,515833.43
B39G18000000002,2026,287687.13
B39H18000200002,2020,8848.37
B39H18000200002,2021,19728.07
B39H18000200002,2022,12783.98
B39H18000200002,2023,21525.11
B39H18000200002,2024,1100.0
B39H18000200002,2025,631492.81
B39H18000200002,2026,1430.0
B41B21006560001,2024,165321.62
B41B21006560001,2025,110067.59
B51D18000110001,2021,16904.81
B51D18000110001,2022,10734.05
B51D18000110001,2023,26516.14
B51D18000110001,2024,130647.16
B51D18000110001,2025,538592.18
B52F23000040002,2024,4999.99
B52J20001300001,2022,1729.12
B52J20001300001,2023,9397.21
B53B20000140001,2021,850.0
B53B20000140001,2022,8790.56
B53D20003320002,2021,1020.49
B53D20003320002,2022,4645.42
B53D20003320002,2023,12524.72
B53D20003420002,2024,7834.25
B53D21000760001,2021,185144.23
B53I17000010001,2019,1056.0
B53I17000010001,2020,22677.73
B53I17000010001,2021,46345.8
B53I17000010001,2022,7347.02
B53I17000010001,2023,230956.85
B53I17000010001,2024,214502.73
B53I17000010001,2025,231497.52
B53I17000010001,2026,154662.53
B54H17001190002,2023,30.0
B54H17001190002,2024,62270.61
B54H17001190002,2025,4082.95
B54H17001190002,2026,113175.83
B56J23000030002,2023,12764.84
B56J23000030002,2024,78654.98
B56J23000030002,2025,4613.74
B56J23000030002,2026,142206.33
B58E18000190003,2020,5091.99
B58E18000190003,2021,52465.37
B58E18000190003,2022,52319.94
B58E18000190003,2023,19260.87
B58E18000190003,2024,157883.95
B58E18000190003,2025,18928.0
B61D17000070002,2019,710.2
B61D17000070002,2020,93828.13
B61D17000070002,2021,100175.1
B61D18000210001,2021,7141.88
B61D18000210001,2023,38637.56
B61D18000210001,2024,458912.86
B61D18000210001,2025,663082.71
B61J20000140001,2022,68904.15
B62H22014350001,2024,35309.03
B62H22014360001,2024,19429.72
B63J18000080001,2019,7218.25
B63J18000080001,2021,32289.23
B63J18000080001,2024,2440.0
B64F19015180004,2025,14481.25
B64J23000150001,2024,21666.69
B66D19000080001,2020,55936.95
B66D19000080001,2021,23114.32
B67H18007570005,2021,10716.0
B67H18007570005,2022,1612.0
B67H18007570005,2023,61725.47
B67H18007570005,2024,337779.74
B67H18007580005,2020,10960.16
B67H18007580005,2021,3061.22
B67H18007580005,2022,10014.73
B67H18007580005,2023,3005.01
B67H18007580005,2024,16166.22
B67H22005720001,2023,5101.8
B67H22005720001,2024,16000.09
B67H22005730001,2024,12434.56
B67H23000300001,2024,13573.96
B68E16000000002,2020,6978.4
B68E16000000002,2021,9536.07
B68E16000000002,2022,26407.8
B68E16000000002,2023,400.0
B68E16000000002,2024,49856.26
B68E16000000002,2025,161556.4
B68E18000180001,2022,25916.26
B68G20000550005,2024,86305.05
B69B17000070002,2018,275.93
B69B17000070002,2019,2167.33
B69B17000070002,2023,821.55
B69C17000010002,2019,32812.1
B69C17000010002,2020,132669.89
B69C17000010002,2021,175010.0
B69C17000010002,2024,2808.0
B69C18000080001,2019,2197.24
B69C18000080001,2021,2791.36
B69C18000080001,2024,4651.85
B69D18000040001,2021,6344.0
B69D18000040001,2023,8212.43
B69D18000040001,2024,1705.35
B69E18000450002,2019,40184.55
B69G17002770002,2019,7137.0
B69G17002770002,2021,990.0
B69G17002770002,2023,4577.95
B69G20000090005,2021,5199.98
B69G20000090005,2022,20084.37
B69G20000090005,2023,91399.53
B69G20000090005,2024,239.55
B69I18000120001,2021,15246.26
B69I18000120001,2023,9280.34
B69I18000120001,2024,146682.25
B69J21000300001,2022,97949.33
B71B17000610001,2020,12099.98
B71B17000610001,2025,15451.4
B71B17000610001,2026,122527.19
B71B21003120001,2025,119823.73
B71B21003120001,2026,174917.16
B71B21003230001,2023,14.04
B71B21003230001,2026,134091.41
B72C16000130001,2017,15000.0
B72C16000130001,2018,21175.09
B72C16000130001,2020,73725.02
B72C16000130001,2021,119375.25
B72C16000130001,2022,603154.64
B72C16000130001,2023,1159624.27
B72C16000130001,2024,19174.04
B72C16000130001,2025,444346.4
B72E17005850002,2023,9790.06
B73G20004450001,2021,4434.27
B73G20004450001,2024,109616.02
B73G20004450001,2025,60919.71
B73H19001520005,2020,2537.6
B74B19000040001,2021,14591.2
B74B19000040001,2024,976.0
B74B19000040001,2025,2328.64
B74J18000430001,2020,36885.58
B74J18000430001,2021,100282.99
B74J18000430001,2023,213277.91
B74J18000430001,2024,124450.48
B75F17000050001,2019,15075.83
B75F17000050001,2020,20637.15
B75F17000050001,2021,176281.13
B75F17000050001,2023,620595.5
B75F17000050001,2024,248431.83
B76C19000120001,2020,17241.58
B76C19000120001,2021,92185.5
