comune,indirizzo,civico,destinazione,condizione_materiale,stato_conservazione,tipo_supporto,superfice_esposta,quantita_kg,quantita_m2,quantita_m3,comune_istat
ABBIATEGRASSO,"VIA F,LLI CERVI",13,ALTRO,,,,,#N/D,#N/D,#N/D,015002
ARCONATE,VIA GIULIO CESARE,10,ALTRO,,,,,#N/D,#N/D,#N/D,015007
ARCONATE,VIA GIULIO CESARE,10,ALTRO,,,,,#N/D,#N/D,#N/D,015007
ARESE,VIA MATTEOTTI,33,ALTRO,,,,,#N/D,#N/D,#N/D,015009
BARANZATE,VIA MONTE AMIATA,5,ALTRO,,,,,#N/D,#N/D,#N/D,015250
CASTANO PRIMO,VIA MARSALA,16,ALTRO,,,,,#N/D,#N/D,#N/D,015062
CASOREZZO,VIA SAN BARNABA,SNC,ALTRO,,,,,#N/D,#N/D,#N/D,015058
CESANO BOSCONE,VIA MANZONI,17,ABITAZIONE,,,,,#N/D,#N/D,#N/D,015074
CORBETTA,VIA PEROSI,10,ALTRO,,,,,#N/D,#N/D,#N/D,015085
INVERUNO,VIA KENNEDY,12,"UFFICI, FABBRICA/AZIENDA",,,,,#N/D,#N/D,#N/D,015113
MAGENTA,VIA MARINELLI,3,,,,,,#N/D,#N/D,#N/D,015130
SANTO STEFANO TICINO,VIA CARAVAGGIO,1,ABITAZIONE,,,,,#N/D,#N/D,#N/D,015200
