Struttura - Comune,Struttura - Indirizzo,Struttura -Civico,Struttura - Destinazione,Condizione materiale,Stato conservazione,Tipo supporto,Superfice esposta,Quantità KG,Quantità m2,Quantità m3
ABBIATEGRASSO,VIA BRODOLINI,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",4,60,,
ABBIATEGRASSO,VIA SAN GIOVANNI BOSCO,7,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",150,,150,
ABBIATEGRASSO,VIA CAGNOLA,36,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",300,,300,
ABBIATEGRASSO,VIA BUONARROTI,26,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",15,350,,
ABBIATEGRASSO,VIA GINIBISSA,28,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",110,1900,,
ABBIATEGRASSO,VIA EINAUDI,3,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"COIBENTAZIONE DI IMPIANTI TERMICI, TUBAZIONI",,,100,
ABBIATEGRASSO,VIA CAGNOLA,35/A,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",250,6000,,
ABBIATEGRASSO,VIA VERBANO/CASCINA PALAZZO,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",40,,40,
ABBIATEGRASSO,CORSO ITALIA,12-14-16-1,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",400,5000,,
ABBIATEGRASSO,VIA GALLI,10,ABITAZIONE,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",300,4800,,
ABBIATEGRASSO,VIALE SFORZA,66,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",350,5200,,
ABBIATEGRASSO,VIA GALILEI,61,"ABITAZIONE, ALTRO",NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",100,1500,,
ABBIATEGRASSO,VIA SACCO E VANZETTI,5,FABBRICA/AZIENDA,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",1200,18800,,
ABBIATEGRASSO,MENDOSIO,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",50,,,
ABBIATEGRASSO,VICINANZE CENTRO RICREATIVO TICINOT,SN,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",30,,,
ABBIATEGRASSO,VIA ROSMINI SERBATI,8,ALTRO,NON FRIABILE,DANNEGGIATO -10%,"PARETI O PANNELLI IN CEMENTO AMIANTO, CAMINI (ETERNIT)",35,700,,
