id,sostenitori,datetime
500020,265318,2024-07-29T22:16:02
500020,266507,2024-07-29T23:19:33
500020,266922,2024-07-30T00:28:14
500020,267112,2024-07-30T01:41:58
500020,267203,2024-07-30T02:26:45
500020,267315,2024-07-30T03:20:26
500020,267624,2024-07-30T04:20:12
500020,268458,2024-07-30T05:19:41
500020,270608,2024-07-30T06:16:28
500020,270818,2024-07-30T06:20:50
500020,274360,2024-07-30T07:19:13
500020,277205,2024-07-30T07:55:18
500020,279124,2024-07-30T08:20:22
500020,284257,2024-07-30T09:19:44
500020,288920,2024-07-30T10:19:54
500020,293522,2024-07-30T11:18:33
500020,296656,2024-07-30T12:21:43
500020,296658,2024-07-30T13:20:02
500020,297886,2024-07-30T14:19:15
500020,302241,2024-07-30T15:20:01
500020,306176,2024-07-30T16:20:47
500020,309254,2024-07-30T17:18:57
500020,312190,2024-07-30T18:20:46
500020,314205,2024-07-30T19:18:09
500020,317109,2024-07-30T20:19:28
500020,319276,2024-07-30T21:19:16
500020,320551,2024-07-30T22:18:35
500020,321142,2024-07-30T23:18:11
500020,321392,2024-07-31T00:23:29
500020,321481,2024-07-31T01:31:07
500020,321530,2024-07-31T02:18:58
500020,321588,2024-07-31T03:19:42
500020,321743,2024-07-31T04:19:22
500020,322200,2024-07-31T05:19:57
500020,323754,2024-07-31T06:20:06
500020,326119,2024-07-31T07:17:30
500020,329613,2024-07-31T08:20:03
500020,332945,2024-07-31T09:19:58
500020,336313,2024-07-31T10:18:34
500020,339464,2024-07-31T11:18:27
500020,342707,2024-07-31T12:21:46
