dataApertura,dataFineRaccolta,dataFineValidita,dataGazzetta,dataInizioRaccolta,dataInizioValidita,dataIns,dataUltimoAgg,estremi,id,idDecCatIniziativa_dataFineValidita,idDecCatIniziativa_dataInizioValidita,idDecCatIniziativa_id,idDecCatIniziativa_nome,idDecStatoIniziativa_dataFineValidita,idDecStatoIniziativa_dataInizioValidita,idDecStatoIniziativa_id,idDecStatoIniziativa_nome,idDecTipoIniziativa_dataFineValidita,idDecTipoIniziativa_dataInizioValidita,idDecTipoIniziativa_id,idDecTipoIniziativa_nome,quorum,sito,sostenitori,supportata,titolo,titoloLeggeCostituzionale,data_download,dataChiusura
2024-07-25,2024-09-29,9999-12-31,2024-04-24,2024-07-25,2024-07-25,2024-07-25T18:50:35,2024-07-25,400009,500004,9999-12-31,2021-08-01,1,VITA POLITICA,1999-12-31,2023-07-26,9,MESSA A DISPOSIZIONE,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,https://www.iovoglioscegliere.it/,40684,false,ABROGAZIONE DEL VOTO CONGIUNTO TRA CANDIDATI E LISTE PLURINOMINALI ,"DPR 30 marzo 1957, n. 361 , Decreto Legislativo 20 dicembre 1993,  n. 533",2025-09-06,2024-09-29
2024-07-25,2024-09-29,9999-12-31,2024-04-24,2024-07-25,2024-07-25,2024-07-25T19:00:43,2024-07-25,400013,500005,9999-12-31,2021-08-01,1,VITA POLITICA,1999-12-31,2023-07-26,9,MESSA A DISPOSIZIONE,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,https://www.iovoglioscegliere.it/,10584,false,NIENTE SOGLIE DI ACCESSO PER LISTE AUTONOME E COALIZIONI,"30 marzo 1957, n. 361 e Decreto Legislativo 20 dicembre 1993, n. 533",2025-09-06,2024-09-29
2024-07-25,2024-09-29,9999-12-31,2024-04-24,2024-07-25,2024-07-25,2024-07-25T19:06:44,2024-07-25,400012,500006,9999-12-31,2021-08-01,1,VITA POLITICA,1999-12-31,2023-07-26,9,MESSA A DISPOSIZIONE,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,https://www.iovoglioscegliere.it/,13759,false,"TUTTI I PARTITI, ANCHE QUELLI IN PARLAMENTO, DEVONO RACCOGLIERE LE FIRME PER LE CANDIDATURE","""Approvazione  del testo unico delle leggi recanti norme per la  elezione  della  Camera dei deputati."", approvato con decreto del Presidente della Repubblica 30 marzo 1957, n. 361",2025-09-06,2024-09-29
2024-07-25,2024-09-29,9999-12-31,2024-04-24,2024-07-25,2024-07-25,2024-07-25T19:16:03,2024-07-25,400015,500008,9999-12-31,2021-08-01,1,VITA POLITICA,1999-12-31,2023-07-26,9,MESSA A DISPOSIZIONE,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,https://www.iovoglioscegliere.it/,22484,false,ABOLIZIONE PLURICANDIDATURE: OGNI CANDIDATO IN UN SOLO COLLEGIO UNINOMINALE E/O PLURINOMINALE,"Decreto del Presidente della Repubblica 30 marzo 1957, n. 361, e il Decreto Legislativo 20 dicembre 1993,  n. 533",2025-09-06,2024-09-29
2024-07-26,2025-02-19,9999-12-31,2024-05-24,2024-07-26,2024-07-25,2024-07-25T19:53:59,2025-02-19,400027,500013,9999-12-31,2021-08-01,1,VITA POLITICA,9999-12-31,2021-08-01,3,CHIUSA,9999-12-31,2021-08-01,4,Legge di iniziativa popolare (art. 71 Costituzione),50000,https://www.iovoglioscegliere.it/,7885,false,"«Modifiche al testo unico di  cui  al  D.P.R.  30  marzo  1957,
n. 361, e al testo unico di cui al d.lgs. 20 dicembre  1993,  n. 533,
in materia di elezione della camera dei deputati e del  senato  della
repubblica.». ","Legge d'iniziativa popolare per introdurre la preferenza nei collegi plurinominali di Camera e Senato. ",2025-09-06,2025-02-19
2024-07-26,2024-09-24,9999-12-31,2024-07-06,2024-07-26,2024-07-26,2024-07-26T09:42:53,2024-07-26,400014,500020,9999-12-31,2021-08-01,1,VITA POLITICA,1999-12-31,2023-07-26,9,MESSA A DISPOSIZIONE,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,https://www.referendumautonomiadifferenziata.com,553915,false,"Contro l’autonomia differenziata. Una firma per l’Italia unita, libera, giusta","Disposizioni per l'attuazione dell'autonomia differenziata delle Regioni a statuto ordinario ai sensi dell'articolo 116, terzo comma, della Costituzione",2025-09-06,2024-09-24
2024-07-26,2026-02-28,9999-12-31,2024-05-31,2024-07-26,2024-07-26,2024-07-26T12:33:06,2024-07-26,400029,500022,9999-12-31,2021-08-01,1,VITA POLITICA,9999-12-31,2021-08-01,2,IN RACCOLTA FIRME,9999-12-31,2021-08-01,4,Legge di iniziativa popolare (art. 71 Costituzione),50000,https://www.acli.it/la-tua-politica/,12340,false,La Tua Politica. Scelte per la Democrazia - Proposta di legge sulla Democrazia interna e la Trasparenza dei Partiti Politici,"Norme per la democrazia, la trasparenza di bilancio ed il finanziamento pubblico dei partiti politici (art. 49 della Costituzione)pubblico diretto alla partecipazione politica",2025-09-06,
2024-07-26,2026-02-28,9999-12-31,2024-05-31,2024-07-26,2024-07-26,2024-07-26T13:13:56,2024-07-26,400026,500023,9999-12-31,2021-08-01,1,VITA POLITICA,9999-12-31,2021-08-01,2,IN RACCOLTA FIRME,9999-12-31,2021-08-01,4,Legge di iniziativa popolare (art. 71 Costituzione),50000,https://www.acli.it/la-tua-politica/,6285,false,La Tua Politica. Scelte per la Democrazia - Proposta di legge per la Partecipazione Democratica e le Assemblee Partecipative,Istituzione delle assemblee di cittadinanza per promozione della partecipazione democratica dei cittadini,2025-09-06,
2024-07-26,2024-10-26,9999-12-31,2024-06-26,2024-07-26,2024-07-26,2024-07-26T14:34:38,2024-10-28,400004,500025,1999-12-31,2021-08-01,14,AMBIENTE,9999-12-31,2021-08-01,3,CHIUSA,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,www.rispettoanimali.it,106876,false,ALLEVAMENTI INTENSIVI ,ART. 19 TER DISPOSIZIONI DI COORDINAMENTO E TRANSITORIE CODICE PENALE (LEGGI SPECIALI IN MATERIA DI ANIMALI),2025-09-06,2024-10-28
2024-07-26,2024-10-26,9999-12-31,2024-06-26,2024-07-26,2024-07-26,2024-07-26T15:02:36,2024-10-28,400006,500026,1999-12-31,2021-08-01,14,AMBIENTE,9999-12-31,2021-08-01,3,CHIUSA,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,www.rispettoanimali.it,59591,false,CACCIA ,ART. 19 TER DISPOSIZIONI DI COORDINAMENTO E TRANSITORIE CODICE PENALE (LEGGI SPECIALI IN MATERIA DI ANIMALI),2025-09-06,2024-10-28
2024-07-26,2024-10-26,9999-12-31,2024-06-26,2024-07-26,2024-07-26,2024-07-26T17:04:39,2024-10-28,400005,500030,1999-12-31,2021-08-01,14,AMBIENTE,9999-12-31,2021-08-01,3,CHIUSA,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,www.rispettoanimali.it,23549,false,ART. 842 - FONDI PRIVATI ,"ABROGAZIONE DELL’ARART. 842 DEL CODICE CIVILE, APPROVATO CON R.D. DEL 16 MARZO 1942 N. 262, PRIMO E SECONDO COMMA",2025-09-06,2024-10-28
2024-07-26,2024-10-26,9999-12-31,2024-06-26,2024-07-26,2024-07-26,2024-07-26T17:12:33,2024-10-28,400007,500032,1999-12-31,2021-08-01,14,AMBIENTE,9999-12-31,2021-08-01,3,CHIUSA,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,www.rispettoanimali.it,48504,false,"MANIFESTAZIONI STORICHE CON UTILIZZO DI ANIMALI, CIRCHI CON USO DI ANIMALI E GIARDINI ZOOLOGICI",ART. 19 TER DISPOSIZIONI DI COORDINAMENTO E TRANSITORIE CODICE PENALE (LEGGI SPECIALI IN MATERIA DI ANIMALI),2025-09-06,2024-10-28
2024-07-26,2024-10-22,9999-12-31,2024-06-26,2024-07-26,2024-07-26,2024-07-26T17:20:49,2024-10-22,400008,500033,1999-12-31,2021-08-01,14,AMBIENTE,9999-12-31,2021-08-01,3,CHIUSA,9999-12-31,2021-08-01,1,Referendum  abrogativo (art. 75 Costituzione),500000,www.rispettoanimali.it,39240,false,SPERIMENTAZIONE ANIMALE,ART. 19 TER DISPOSIZIONI DI COORDINAMENTO E TRANSITORIE CODICE PENALE (LEGGI SPECIALI IN MATERIA DI ANIMALI),2025-09-06,2024-10-22
