Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,176,63.506,22.048,85.730,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Lombardia,,9.802,1.965,11.767,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Emilia-Romagna,,6.727,2.015,8.742,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Piemonte,,6.268,1.609,7.877,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Lazio,,5.557,2.273,7.830,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Campania,,4.810,1.521,6.331,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Sicilia,57,3.625,2.517,6.199,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Toscana,,4.393,1.279,5.672,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Veneto,,4.988,606,5.594,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Puglia,119,1.968,2.312,4.399,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Calabria,,2.026,1.894,3.920,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Liguria,,2.748,681,3.429,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Friuli-Venezia Giulia,,2.784,292,3.076,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Marche,,1.313,853,2.166,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Trentino-Alto Adige,,1.461,359,1.820,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Abruzzo,,1.367,354,1.721,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Umbria,,1.185,271,1.456,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Basilicata,,977,402,1.379,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Sardegna,,1.058,189,1.247,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Molise,,356,632,988,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
Valle d'Aosta,,93,24,117,cruscotto_statistico_giornaliero_31-05-2020_0-accoglienza.csv
