Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,454,71.029,33.017,104.500,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Lombardia,,9.107,3.017,12.124,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Emilia-Romagna,,7.428,3.028,10.456,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Lazio,,6.631,2.656,9.287,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Piemonte,,6.902,2.238,9.140,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Sicilia,361,3.516,4.875,8.752,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Toscana,,5.409,1.709,7.118,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Campania,,3.750,3.080,6.830,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Veneto,,5.615,719,6.334,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Calabria,,2.227,2.879,5.106,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Puglia,93,1.826,3.037,4.956,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Liguria,,3.890,1.012,4.902,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Friuli-Venezia Giulia,,4.265,262,4.527,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Marche,,2.230,1.219,3.449,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Abruzzo,,1.857,766,2.623,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Umbria,,1.645,425,2.070,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Basilicata,,1.233,730,1.963,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Trentino-Alto Adige,,1.499,208,1.707,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Molise,,716,875,1.591,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Sardegna,,1.183,251,1.434,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
Valle d'Aosta,,100,31,131,cruscotto_statistico_giornaliero_30-11-2022_0-accoglienza.csv
