Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,98,62.428,22.420,84.946,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Lombardia,,9.854,1.998,11.852,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Emilia-Romagna,,6.729,2.038,8.767,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Piemonte,,6.360,1.686,8.046,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Lazio,,5.439,2.298,7.737,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Campania,,4.868,1.581,6.449,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Sicilia,98,3.132,2.620,5.850,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Veneto,,5.072,597,5.669,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Toscana,,4.369,1.289,5.658,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Puglia,0,1.892,2.196,4.088,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Calabria,,2.032,1.875,3.907,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Liguria,,2.768,677,3.445,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Friuli-Venezia Giulia,,2.353,303,2.656,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Marche,,1.289,839,2.128,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Trentino-Alto Adige,,1.510,358,1.868,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Abruzzo,,1.246,444,1.690,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Basilicata,,949,447,1.396,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Umbria,,1.087,308,1.395,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Sardegna,,1.018,222,1.240,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Molise,,367,620,987,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
Valle d'Aosta,,94,24,118,cruscotto_statistico_giornaliero_31-03-2020_0-accoglienza.csv
