Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,32,100.780,38.189,139.001,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Lombardia,,15.131,3.218,18.349,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Lazio,,10.416,2.539,12.955,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Emilia-Romagna,,8.912,3.645,12.557,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Piemonte,,9.273,2.456,11.729,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Campania,,6.891,4.005,10.896,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Toscana,,8.401,1.884,10.285,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Sicilia,1,3.890,6.076,9.967,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Veneto,,7.741,821,8.562,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Puglia,0,3.739,3.685,7.424,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Calabria,31,3.576,3.350,6.957,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Liguria,,4.515,1.057,5.572,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Friuli-Venezia Giulia,,4.039,232,4.271,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Marche,,2.693,1.519,4.212,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Abruzzo,,3.159,924,4.083,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Umbria,,2.266,468,2.734,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Basilicata,,1.766,879,2.645,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Sardegna,,2.049,283,2.332,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Trentino-Alto Adige,,1.484,186,1.670,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Molise,,730,925,1.655,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
Valle d'Aosta,,109,37,146,cruscotto_statistico_giornaliero_15-01-2025_0-accoglienza.csv
