Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,90,99.391,38.180,137.661,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Lombardia,,14.625,3.196,17.821,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Lazio,,10.771,2.588,13.359,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Emilia-Romagna,,8.713,3.630,12.343,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Piemonte,,8.860,2.448,11.308,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Campania,,6.873,4.059,10.932,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Toscana,,8.588,1.894,10.482,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Sicilia,12,3.868,6.025,9.905,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Veneto,,7.552,812,8.364,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Calabria,78,3.855,3.364,7.297,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Puglia,,3.168,3.651,6.819,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Liguria,,4.643,1.033,5.676,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Abruzzo,,3.088,919,4.007,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Friuli-Venezia Giulia,,3.710,246,3.956,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Marche,,2.405,1.532,3.937,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Umbria,,2.349,468,2.817,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Sardegna,,2.285,291,2.576,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Basilicata,,1.619,892,2.511,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Molise,,863,902,1.765,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Trentino-Alto Adige,,1.451,193,1.644,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
Valle d'Aosta,,105,37,142,cruscotto_statistico_giornaliero_31-05-2025_0-accoglienza.csv
