Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,349,83.036,34.827,118.212,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Lombardia,,11.258,3.110,14.368,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Emilia-Romagna,,8.279,3.175,11.454,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Piemonte,,8.129,2.327,10.456,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Lazio,,7.712,2.722,10.434,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Sicilia,177,3.569,5.451,9.197,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Campania,,5.196,3.515,8.711,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Toscana,,6.661,1.773,8.434,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Veneto,,6.724,747,7.471,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Puglia,172,2.395,3.003,5.570,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Calabria,,2.564,2.979,5.543,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Liguria,,4.242,1.058,5.300,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.122,236,4.358,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Marche,,2.447,1.319,3.766,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Abruzzo,,2.493,868,3.361,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Umbria,,1.791,436,2.227,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Basilicata,,1.417,719,2.136,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Sardegna,,1.613,277,1.890,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Trentino-Alto Adige,,1.574,210,1.784,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Molise,,742,866,1.608,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
Valle d'Aosta,,108,36,144,cruscotto_statistico_giornaliero_15-06-2023-accoglienza.csv
