Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,487,74.438,24.674,99.599,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Lombardia,,11.701,2.105,13.806,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Emilia-Romagna,,7.514,2.250,9.764,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Lazio,,6.292,2.806,9.098,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Piemonte,,7.198,1.693,8.891,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Campania,,6.107,1.956,8.063,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Sicilia,487,3.708,3.018,7.213,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Toscana,,5.742,1.283,7.025,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Veneto,,6.088,678,6.766,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Puglia,0,2.338,2.179,4.517,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Calabria,,2.029,2.037,4.066,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Liguria,,3.200,718,3.918,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Friuli-Venezia Giulia,,2.732,356,3.088,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Marche,,1.733,972,2.705,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Trentino-Alto Adige,,1.929,357,2.286,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Abruzzo,,1.364,527,1.891,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Umbria,,1.332,387,1.719,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Sardegna,,1.445,233,1.678,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Basilicata,,1.141,488,1.629,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Molise,,684,606,1.290,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
Valle d'Aosta,,161,25,186,cruscotto_statistico_giornaliero_30-09-2019_0-accoglienza.csv
