Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1.238,103.334,34.816,139.388,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Lombardia,,14.979,3.024,18.003,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Emilia-Romagna,,9.589,3.325,12.914,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Piemonte,,10.088,2.329,12.417,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Lazio,,9.745,2.486,12.231,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Campania,,7.130,3.923,11.053,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Sicilia,1.119,4.069,5.192,10.380,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Toscana,,7.989,1.799,9.788,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Veneto,,6.848,764,7.612,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Puglia,119,4.018,3.045,7.182,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Calabria,,3.242,2.909,6.151,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Liguria,,4.864,1.027,5.891,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Abruzzo,,4.265,886,5.151,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.319,238,4.557,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Marche,,3.004,1.307,4.311,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Sardegna,,2.511,273,2.784,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Umbria,,2.247,437,2.684,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Basilicata,,1.869,795,2.664,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Molise,,983,832,1.815,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Trentino-Alto Adige,,1.472,191,1.663,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
Valle d'Aosta,,103,34,137,cruscotto_statistico_giornaliero_31-12-2023-accoglienza.csv
