Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,percentuale di distribuzione dei migranti presenti per regione,file
Totale complessivo,420,99.459,39.153,139.032,100%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Lombardia,,14.180,3.307,17.487,13%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Lazio,,10.792,2.726,13.518,10%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Emilia-Romagna,,8.561,3.771,12.332,9%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Piemonte,,8.677,2.503,11.180,8%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Campania,,6.843,4.131,10.974,8%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Sicilia,395,4.162,6.206,10.763,8%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Toscana,,8.524,1.944,10.468,8%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Veneto,,7.610,810,8.420,6%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Calabria,25,3.938,3.447,7.410,5%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Puglia,0,3.317,3.735,7.052,5%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Liguria,,4.837,1.030,5.867,4%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.866,246,4.112,3%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Abruzzo,,2.997,940,3.937,3%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Marche,,2.294,1.547,3.841,3%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Sardegna,,2.558,284,2.842,2%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Umbria,,2.358,473,2.831,2%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Basilicata,,1.594,877,2.471,2%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Molise,,834,933,1.767,1%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Trentino-Alto Adige,,1.415,206,1.621,1%,cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
Valle d'Aosta,,102,37,139,"0,1%",cruscotto_statistico_giornaliero_15-08-2025-accoglienza.csv
