Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.697,75.313,33.817,110.827,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Lombardia,,9.763,2.982,12.745,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Emilia-Romagna,,7.672,3.128,10.800,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Sicilia,1.520,3.241,5.128,9.889,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Piemonte,,7.642,2.189,9.831,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Lazio,,6.936,2.695,9.631,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Toscana,,5.982,1.719,7.701,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Campania,,4.003,3.221,7.224,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Veneto,,6.183,746,6.929,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Calabria,,2.554,2.988,5.542,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Puglia,177,1.901,3.130,5.208,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Liguria,,4.076,1.026,5.102,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Friuli-Venezia Giulia,,3.878,235,4.113,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Marche,,2.359,1.271,3.630,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Abruzzo,,2.221,848,3.069,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Umbria,,1.730,420,2.150,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Basilicata,,1.369,702,2.071,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Trentino-Alto Adige,,1.630,207,1.837,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Molise,,802,888,1.690,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Sardegna,,1.272,257,1.529,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
Valle d'Aosta,,99,37,136,cruscotto_statistico_giornaliero_15-03-2023_0-accoglienza.csv
