Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1.780,101.778,39.182,142.740,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Lombardia,,14.359,3.338,17.697,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Lazio,,10.889,2.753,13.642,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Emilia-Romagna,,8.635,3.762,12.397,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Sicilia,1529,4.287,6.190,12.006,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Piemonte,,9.014,2.524,11.538,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Campania,,6.982,4.140,11.122,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Toscana,,8.535,1.934,10.469,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Veneto,,7.664,804,8.468,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Calabria,251,4.076,3.449,7.776,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Puglia,0,3.530,3.702,7.232,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Liguria,,5.078,1.034,6.112,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Abruzzo,,3.471,935,4.406,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.960,247,4.207,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Marche,,2.302,1.552,3.854,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Umbria,,2.388,511,2.899,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Sardegna,,2.513,286,2.799,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Basilicata,,1.592,850,2.442,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Molise,,1.012,928,1.940,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Trentino-Alto Adige,,1.392,206,1.598,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
Valle d'Aosta,,99,37,136,cruscotto_statistico_giornaliero_15-09-2025-accoglienza.csv
