Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,percentuale di distribuzione dei migranti presenti per regione,file
Totale complessivo,317,99.485,38.454,137.939,100%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Lombardia,,14.320,3.211,17.531,13%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Lazio,,10.806,2.692,13.498,10%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Emilia-Romagna,,8.834,3.691,12.525,9%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Piemonte,,8.962,2.468,11.430,8%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Campania,,6.767,4.046,10.813,8%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Toscana,,8.472,1.899,10.371,8%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Sicilia,279,3.953,6.035,9.988,7%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Veneto,,7.580,814,8.394,"6,1%",cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Calabria,38,3.997,3.386,7.383,5%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Puglia,0,3.228,3.655,6.883,5%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Liguria,,4.728,1.031,5.759,4%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Friuli-Venezia Giulia,,3.778,243,4.021,3%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Abruzzo,,3.039,928,3.967,3%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Marche,,2.408,1.555,3.963,3%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Umbria,,2.339,472,2.811,2%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Sardegna,,2.248,288,2.536,2%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Basilicata,,1.619,880,2.499,2%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Molise,,880,918,1.798,1%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Trentino-Alto Adige,,1.423,205,1.628,1%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
Valle d'Aosta,,104,37,141,0%,cruscotto_statistico_giornaliero_30-06-2025_0-accoglienza.csv
