Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,382,99.991,38.747,139.120,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Lombardia,,14.253,3.222,17.475,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Lazio,,11.072,2.687,13.759,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Emilia-Romagna,,8.639,3.716,12.355,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Piemonte,,8.868,2.471,11.339,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Campania,,6.835,4.086,10.921,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Sicilia,325,4.171,6.194,10.690,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Toscana,,8.475,1.895,10.370,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Veneto,,7.675,817,8.492,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Calabria,57,3.961,3.381,7.399,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Puglia,,3.183,3.734,6.917,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Liguria,,4.765,1.028,5.793,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Friuli-Venezia Giulia,,3.813,247,4.060,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Abruzzo,,3.086,921,4.007,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Marche,,2.358,1.545,3.903,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Umbria,,2.444,477,2.921,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Sardegna,,2.446,288,2.734,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Basilicata,,1.612,885,2.497,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Molise,,831,916,1.747,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Trentino-Alto Adige,,1.402,205,1.607,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
Valle d'Aosta,,102,32,134,cruscotto_statistico_giornaliero_31-07-2025_0-accoglienza.csv
