Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,461,101.002,37.678,139.141,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Lombardia,,15.066,3.168,18.234,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Lazio,,10.523,2.515,13.038,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Emilia-Romagna,,8.923,3.605,12.528,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Piemonte,,9.365,2.458,11.823,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Campania,,6.854,3.978,10.832,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Sicilia,403,3.913,5.963,10.279,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Toscana,,8.341,1.857,10.198,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Veneto,,7.818,799,8.617,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Puglia,0,3.654,3.572,7.226,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Calabria,58,3.618,3.311,6.987,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Liguria,,4.548,1.038,5.586,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Marche,,2.747,1.516,4.263,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Friuli-Venezia Giulia,,4.031,229,4.260,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Abruzzo,,3.177,924,4.101,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Umbria,,2.252,468,2.720,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Basilicata,,1.785,854,2.639,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Sardegna,,2.065,286,2.351,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Trentino-Alto Adige,,1.484,186,1.670,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Molise,,732,914,1.646,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
Valle d'Aosta,,106,37,143,cruscotto_statistico_giornaliero_31-12-2024_fine_mese-accoglienza.csv
