Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,225,100.315,37.309,137.849,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Lombardia,,15.030,3.189,18.219,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Lazio,,10.372,2.542,12.914,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Emilia-Romagna,,8.969,3.573,12.542,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Piemonte,,9.393,2.351,11.744,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Campania,,6.781,3.993,10.774,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Toscana,,8.241,1.854,10.095,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Sicilia,168,3.378,5.908,9.454,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Veneto,,7.874,787,8.661,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Puglia,0,3.639,3.481,7.120,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Calabria,57,3.657,3.245,6.959,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Liguria,,4.585,1.045,5.630,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Friuli-Venezia Giulia,,4.055,230,4.285,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Marche,,2.738,1.483,4.221,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Abruzzo,,3.251,906,4.157,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Umbria,,2.215,469,2.684,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Basilicata,,1.666,842,2.508,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Sardegna,,2.113,287,2.400,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Trentino-Alto Adige,,1.507,183,1.690,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Molise,,742,904,1.646,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
Valle d'Aosta,,109,37,146,cruscotto_statistico_giornaliero_31-10-2024_1-accoglienza.csv
