Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,814,81.563,35.223,117.600,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Lombardia,,10.839,3.112,13.951,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Emilia-Romagna,,8.387,3.204,11.591,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Piemonte,,8.090,2.359,10.449,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Lazio,,7.592,2.737,10.329,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Sicilia,670,3.423,5.425,9.518,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Toscana,,6.596,1.778,8.374,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Campania,,4.736,3.514,8.250,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Veneto,,6.798,742,7.540,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Puglia,144,2.284,3.149,5.577,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Calabria,,2.450,3.090,5.540,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Liguria,,4.244,1.084,5.328,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Friuli-Venezia Giulia,,3.944,247,4.191,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Marche,,2.531,1.325,3.856,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Abruzzo,,2.478,871,3.349,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Umbria,,1.787,441,2.228,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Basilicata,,1.427,721,2.148,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Trentino-Alto Adige,,1.582,210,1.792,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Sardegna,,1.508,278,1.786,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Molise,,758,899,1.657,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
Valle d'Aosta,,109,37,146,cruscotto_statistico_giornaliero_15-05-2023_0-accoglienza.csv
