Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,405,58.536,24.359,83.300,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Lombardia,,9.129,1.927,11.056,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Emilia-Romagna,,6.539,2.240,8.779,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Lazio,,5.349,2.344,7.693,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Piemonte,,5.900,1.714,7.614,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Sicilia,405,3.378,3.442,7.225,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Campania,,4.389,1.807,6.196,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Toscana,,4.062,1.282,5.344,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Veneto,,4.467,630,5.097,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Puglia,0,1.435,2.513,3.948,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Calabria,,1.746,2.069,3.815,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Liguria,,2.649,690,3.339,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Friuli-Venezia Giulia,,2.529,309,2.838,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Marche,,1.089,987,2.076,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Trentino-Alto Adige,,1.288,496,1.784,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Abruzzo,,1.303,351,1.654,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Basilicata,,898,450,1.348,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Umbria,,1.066,262,1.328,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Sardegna,,923,177,1.100,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Molise,,309,646,955,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
Valle d'Aosta,,88,23,111,cruscotto_statistico_giornaliero_15-09-2020_1-accoglienza.csv
