Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,5.696,100.734,34.771,141.201,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Lombardia,,14.379,3.076,17.455,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Sicilia,5.481,4.003,5.304,14.788,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Emilia-Romagna,,9.723,3.221,12.944,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Piemonte,,9.676,2.331,12.007,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Lazio,,9.360,2.412,11.772,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Campania,,6.939,3.855,10.794,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Toscana,,7.893,1.789,9.682,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Veneto,,7.792,748,8.540,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Puglia,215,3.645,3.130,6.990,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Calabria,,3.703,2.938,6.641,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Liguria,,4.774,1.025,5.799,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Friuli-Venezia Giulia,,4.172,230,4.402,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Marche,,2.806,1.337,4.143,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Abruzzo,,3.212,869,4.081,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Umbria,,2.204,406,2.610,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Basilicata,,1.840,721,2.561,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Sardegna,,2.111,289,2.400,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Molise,,935,860,1.795,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Trentino-Alto Adige,,1.466,203,1.669,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
Valle d'Aosta,,101,27,128,cruscotto_statistico_giornaliero_15-09-2023_0-accoglienza.csv
