Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,899,54.956,25.051,80.906,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Lombardia,,8.506,1.992,10.498,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Emilia-Romagna,,6.357,2.241,8.598,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Lazio,,5.325,2.098,7.423,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Piemonte,,5.577,1.703,7.280,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Sicilia,169,2.731,3.404,6.304,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Campania,,4.047,1.938,5.985,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Toscana,,3.931,1.271,5.202,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Veneto,,4.127,630,4.757,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Puglia,61,1.505,2.806,4.372,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Calabria,,1.693,2.293,3.986,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Liguria,,2.506,668,3.174,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Friuli-Venezia Giulia,,2.478,310,2.788,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Marche,,1.322,987,2.309,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Abruzzo,,1.119,505,1.624,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Trentino-Alto Adige,,1.161,342,1.503,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Basilicata,,857,572,1.429,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Umbria,,970,325,1.295,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Sardegna,,930,197,1.127,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Molise,,274,753,1.027,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
Valle d'Aosta,,64,16,80,cruscotto_statistico_giornaliero_30-11-2020_0-accoglienza.csv
