Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,21,54.343,25.574,79.938,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Lombardia,,8.428,2.066,10.494,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Emilia-Romagna,,6.169,2.223,8.392,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Lazio,,5.358,2.133,7.491,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Piemonte,,5.501,1.774,7.275,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Sicilia,21,2.610,3.849,6.480,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Campania,,3.902,1.913,5.815,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Toscana,,3.840,1.246,5.086,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Veneto,,4.016,600,4.616,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Puglia,0,1.466,2.795,4.261,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Calabria,,1.697,2.184,3.881,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Liguria,,2.477,832,3.309,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Friuli-Venezia Giulia,,2.491,310,2.801,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Marche,,1.230,930,2.160,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Abruzzo,,1.063,529,1.592,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Trentino-Alto Adige/Südtirol,,1.146,297,1.443,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Basilicata,,833,550,1.383,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Umbria,,954,335,1.289,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Sardegna,,874,226,1.100,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Molise,,232,759,991,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
Valle d'Aosta/Vallée d'Aoste,,56,23,79,cruscotto_statistico_giornaliero_31-12-2020_1-accoglienza.csv
