Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1.236,101.047,37.309,139.592,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Lombardia,,14.984,3.189,18.173,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Lazio,,10.482,2.542,13.024,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Emilia-Romagna,,9.067,3.573,12.640,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Piemonte,,9.385,2.351,11.736,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Campania,,6.893,3.993,10.886,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Sicilia,1.200,3.534,5.908,10.642,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Toscana,,8.299,1.854,10.153,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Veneto,,8.027,787,8.814,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Puglia,0,3.730,3.481,7.211,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Calabria,36,3.670,3.245,6.951,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Liguria,,4.608,1.045,5.653,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Friuli-Venezia Giulia,,4.045,230,4.275,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Marche,,2.725,1.483,4.208,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Abruzzo,,3.296,906,4.202,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Umbria,,2.203,469,2.672,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Basilicata,,1.656,842,2.498,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Sardegna,,2.102,287,2.389,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Trentino-Alto Adige,,1.505,183,1.688,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Molise,,726,904,1.630,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
Valle d'Aosta,,110,37,147,cruscotto_statistico_giornaliero_15-10-2024-accoglienza.csv
