Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.496,100.823,37.267,139.586,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Lombardia,,14.949,3.239,18.188,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Lazio,,10.491,2.489,12.980,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Emilia-Romagna,,9.098,3.571,12.669,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Piemonte,,9.285,2.341,11.626,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Campania,,6.895,4.004,10.899,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Sicilia,1.155,3.641,5.947,10.743,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Toscana,,8.277,1.855,10.132,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Veneto,,7.995,785,8.780,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Puglia,0,3.725,3.467,7.192,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Calabria,341,3.571,3.166,7.078,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Liguria,,4.553,1.045,5.598,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Marche,,2.722,1.493,4.215,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.986,226,4.212,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Abruzzo,,3.215,921,4.136,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Umbria,,2.176,470,2.646,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Basilicata,,1.691,849,2.540,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Sardegna,,2.187,265,2.452,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Molise,,765,918,1.683,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Trentino-Alto Adige,,1.491,179,1.670,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
Valle d'Aosta,,110,37,147,cruscotto_statistico_giornaliero_30-09-2024-accoglienza.csv
