Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,630,99.862,36.813,137.305,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Lombardia,,14.778,3.106,17.884,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Emilia-Romagna,,9.519,3.523,13.042,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Lazio,,10.080,2.468,12.548,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Piemonte,,9.355,2.287,11.642,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Campania,,6.844,4.004,10.848,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Toscana,,8.156,1.829,9.985,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Sicilia,630,3.387,5.887,9.904,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Veneto,,8.187,784,8.971,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Puglia,0,3.456,3.435,6.891,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Calabria,0,3.195,3.117,6.312,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Liguria,,4.611,1.053,5.664,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Marche,,2.766,1.482,4.248,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Abruzzo,,3.192,920,4.112,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Friuli-Venezia Giulia,,3.805,221,4.026,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Umbria,,2.128,469,2.597,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Basilicata,,1.713,855,2.568,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Sardegna,,2.232,258,2.490,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Trentino-Alto Adige,,1.553,171,1.724,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Molise,,796,909,1.705,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
Valle d'Aosta,,109,35,144,cruscotto_statistico_giornaliero_30-06-2024_0-accoglienza.csv
