Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,81,50.358,26.528,76.967,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Lombardia,,7.624,2.099,9.723,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Emilia-Romagna,,5.476,2.323,7.799,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Piemonte,,5.250,1.831,7.081,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Lazio,,4.748,2.039,6.787,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Sicilia,81,2.334,4.059,6.474,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Campania,,2.881,2.336,5.217,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Toscana,,3.592,1.407,4.999,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Veneto,,3.611,570,4.181,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Puglia,0,1.517,2.610,4.127,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Calabria,,1.407,2.458,3.865,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Liguria,,2.528,835,3.363,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Friuli-Venezia Giulia,,2.558,292,2.850,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Marche,,1.588,919,2.507,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Abruzzo,,1.238,579,1.817,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Basilicata,,965,670,1.635,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Umbria,,1.154,348,1.502,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Trentino-Alto Adige/Südtirol,,920,180,1.100,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Molise,,359,731,1.090,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Sardegna,,580,219,799,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
Valle d'Aosta/Vallée d'Aoste,,28,23,51,cruscotto_statistico_giornaliero_28-02-2022_0-accoglienza.csv
