Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,205,64.999,23.981,89.185,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Lombardia,,10.418,2.088,12.506,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Emilia-Romagna,,6.886,2.303,9.189,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Piemonte,,6.599,1.716,8.315,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Lazio,,5.561,2.535,8.096,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Campania,,5.173,1.784,6.957,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Sicilia,72,3.171,2.852,6.095,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Toscana,,4.624,1.288,5.912,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Veneto,,5.255,638,5.893,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Puglia,133,2.135,2.376,4.644,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Calabria,,1.946,1.925,3.871,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Liguria,,2.902,706,3.608,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Friuli-Venezia Giulia,,2.356,302,2.658,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Marche,,1.425,906,2.331,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Trentino-Alto Adige,,1.619,364,1.983,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Abruzzo,,1.209,449,1.658,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Basilicata,,972,522,1.494,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Umbria,,1.106,332,1.438,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Sardegna,,1.115,222,1.337,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Molise,,412,649,1.061,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
Valle d'Aosta,,115,24,139,cruscotto_statistico_giornaliero_31-01-2020_0-accoglienza.csv
