Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,0,54.343,25.574,79.917,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Lombardia,,8.317,2.115,10.432,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Emilia-Romagna,,6.085,2.240,8.325,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Lazio,,5.355,2.012,7.367,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Piemonte,,5.460,1.808,7.268,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Sicilia,,2.545,3.763,6.308,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Campania,,3.885,1.975,5.860,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Toscana,,3.794,1.279,5.073,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Veneto,,3.950,605,4.555,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Puglia,0,1.392,2.764,4.156,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Calabria,,1.651,2.196,3.847,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Liguria,,2.454,811,3.265,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Friuli-Venezia Giulia,,2.528,304,2.832,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Marche,,1.218,874,2.092,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Abruzzo,,1.019,532,1.551,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Basilicata,,865,542,1.407,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Trentino-Alto Adige,,1.128,255,1.383,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Umbria,,955,336,1.291,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Sardegna,,808,219,1.027,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Molise,,216,746,962,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
Valle d'Aosta,,57,23,80,cruscotto_statistico_giornaliero_15-01-2021_0-accoglienza.csv
