Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,78,54.910,28.773,83.761,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Piemonte,,5.919,2.640,8.559,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Lombardia,,7.439,594,8.033,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Lazio,,4.994,2.568,7.562,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Emilia-Romagna,,6.814,632,7.446,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Umbria,,1.376,4.318,5.694,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Veneto,,4.202,909,5.111,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Campania,,2.591,2.308,4.899,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Friuli-Venezia Giulia,,2.900,1.968,4.868,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Sicilia,78,2.076,2.540,4.694,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Toscana,,4.338,295,4.633,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Marche,,1.682,2.727,4.409,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Liguria,,3.081,755,3.836,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Calabria,,1.269,2.416,3.685,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Puglia,0,1.544,1.084,2.628,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Basilicata,,924,1.602,2.526,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Abruzzo,,1.357,230,1.587,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Trentino-Alto Adige,,1.333,186,1.519,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Molise,,418,368,786,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Valle d'Aosta,,44,605,649,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
Sardegna,,609,28,637,cruscotto_statistico_giornaliero_30-04-2022_0-accoglienza.csv
