Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1.526,105.582,34.689,141.797,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Lombardia,,14.867,3.023,17.890,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Emilia-Romagna,,9.738,3.307,13.045,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Lazio,,9.894,2.477,12.371,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Piemonte,,10.006,2.334,12.340,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Campania,,7.234,3.887,11.121,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Sicilia,1.434,4.209,5.231,10.874,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Toscana,,8.462,1.807,10.269,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Veneto,,8.702,776,9.478,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Puglia,92,4.213,3.035,7.340,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Calabria,,3.605,2.887,6.492,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Liguria,,4.909,1.033,5.942,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.251,233,4.484,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Abruzzo,,3.427,896,4.323,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Marche,,2.967,1.298,4.265,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Umbria,,2.280,422,2.702,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Sardegna,,2.358,283,2.641,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Basilicata,,1.885,692,2.577,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Molise,,1.037,842,1.879,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Trentino-Alto Adige,,1.435,189,1.624,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
Valle d'Aosta,,103,37,140,cruscotto_statistico_giornaliero_15-11-2023-accoglienza.csv
