Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,0,102.017,35.661,137.678,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Lombardia,,14.781,3.049,17.830,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Emilia-Romagna,,9.625,3.315,12.940,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Lazio,,10.141,2.466,12.607,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Piemonte,,9.695,2.300,11.995,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Campania,,7.025,3.988,11.013,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Toscana,,8.099,1.793,9.892,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Sicilia,0,3.676,5.514,9.190,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Veneto,,8.271,777,9.048,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Puglia,0,3.776,3.221,6.997,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Calabria,,3.313,3.052,6.365,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Liguria,,4.939,1.049,5.988,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Marche,,2.834,1.388,4.222,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Abruzzo,,3.161,887,4.048,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Friuli-Venezia Giulia,,3.740,228,3.968,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Sardegna,,2.470,261,2.731,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Umbria,,2.159,452,2.611,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Basilicata,,1.795,808,2.603,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Molise,,880,893,1.773,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Trentino-Alto Adige,,1.531,189,1.720,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
Valle d'Aosta,,106,31,137,cruscotto_statistico_giornaliero_30-04-2024_1-accoglienza.csv
