n,data,codice_regione,nome_corretto,complessivo_numero_asseverazioni,complessivo_totale_investimenti_amessi,complessivo_importo_lavori_ammessi,edifici_condomini_numero_asseverazioni,edifici_condomini_totale_investimenti_amessi,edifici_condomini_importo_lavori_ammessi,edifici_unifamiliari_numero_asseverazioni,edifici_unifamiliari_totale_investimenti_amessi,edifici_unifamiliari_importo_lavori_ammessi,unita_indipendenti_numero_asseverazioni,unita_indipendenti_totale_investimenti_amessi,unita_indipendenti_importo_lavori_ammessi,castelli_aperti_numero_asseverazioni,castelli_aperti_totale_investimenti_amessi,castelli_aperti_importo_lavori_ammessi,nome_sorgente
15,2021-09-30,19,Sicilia,3454,513447151.55,352720517.81,422,211948650.48,122793225.35,2270,227280561.30,174229180.86,762,74217939.77,55698111.60,,,,Sicilia
16,2021-09-30,09,Toscana,3761,512665369.32,355232705.86,418,198460735.36,119411215.16,1624,163564061.91,120510461.61,1719,150640572.05,115311029.09,,,,Toscana
17,2021-09-30,04,Trentino-Alto Adige/Südtirol,512,117943735.39,72544227.71,207,88136971.53,50281711.15,192,19866032.35,15317936.63,113,9940731.51,6944579.93,,,,Trentino-Alto-Adige
18,2021-09-30,10,Umbria,819,112029637.40,84132418.25,127,44837311.04,32557808.38,411,41023695.74,32091212.48,281,26168630.62,19483397.39,,,,Umbria
19,2021-09-30,02,Valle d'Aosta/Vallée d'Aoste,85,16362190.45,11598217.88,37,11483750.35,8181327.57,38,3978463.67,2770808.42,10,899976.43,646081.89,,,,Valle d'Aosta
20,2021-09-30,05,Veneto,5780,731515962.36,536767953.85,389,209210188.70,134034308.82,2509,257214848.97,198340993.23,2882,265090924.69,204392651.80,,,,Veneto
1,2021-10-31,13,Abruzzo,1610,350442117.57,219502222.06,367,223902625.44,125380623.30,700,74552627.85,54331442.86,543,51986864.28,39790155.90,,,,Abruzzo
2,2021-10-31,17,Basilicata,649,178468912.61,118908291.38,232,132902065.19,86722440.19,271,30102244.60,22640066.44,146,15464602.82,9545784.75,,,,Basilicata
3,2021-10-31,18,Calabria,2439,423711569.53,289593629.27,359,203083682.75,118105091.85,1321,139980011.60,113549887.94,759,80647875.18,57938649.48,,,,Calabria
4,2021-10-31,15,Campania,3880,818763474.49,508891840.03,826,494845640.97,278553486.49,2210,235091196.23,171477548.01,844,88826637.29,58860805.53,,,,Campania
5,2021-10-31,08,Emilia-Romagna,4392,792788131.92,589617354.38,810,467109176.61,338717741.34,1930,183670665.95,141242964.63,1652,142008289.36,109656648.41,,,,Emilia-Romagna
