n,data,codice_regione,nome_corretto,complessivo_numero_asseverazioni,complessivo_totale_investimenti_amessi,complessivo_importo_lavori_ammessi,edifici_condomini_numero_asseverazioni,edifici_condomini_totale_investimenti_amessi,edifici_condomini_importo_lavori_ammessi,edifici_unifamiliari_numero_asseverazioni,edifici_unifamiliari_totale_investimenti_amessi,edifici_unifamiliari_importo_lavori_ammessi,unita_indipendenti_numero_asseverazioni,unita_indipendenti_totale_investimenti_amessi,unita_indipendenti_importo_lavori_ammessi,castelli_aperti_numero_asseverazioni,castelli_aperti_totale_investimenti_amessi,castelli_aperti_importo_lavori_ammessi,nome_sorgente
4,2022-03-31,15,Campania,8094,1786594364.77,1132625277.40,1855,1073683759.99,625276062.78,4583,536394924.55,382403566.40,1656,176515680.23,124945648.22,,,,Campania
5,2022-03-31,08,Emilia-Romagna,11396,2016047628.01,1492876293.14,2107,1100379709.42,804164921.60,5290,556323586.22,414881114.25,3999,359344332.37,273830257.29,,,,Emilia-Romagna
6,2022-03-31,06,Friuli-Venezia Giulia,3631,473215432.20,343302520.43,277,159558806.39,100121562.96,2312,230979075.99,178466613.84,1042,82677549.82,64714343.63,,,,Friuli-Venezia Giulia
7,2022-03-31,12,Lazio,12267,2244714123.64,1442959848.20,1713,1142191781.09,636922444.99,5988,664857730.89,480342390.98,4566,437664611.66,325695012.23,,,,Lazio
8,2022-03-31,07,Liguria,1596,259419297.64,166379224.58,362,131331915.80,75174323.45,760,82687212.75,58512449.75,474,45400169.09,32692451.38,,,,Liguria
9,2022-03-31,03,Lombardia,21269,4016675835.18,2929656152.71,3517,2071278500.83,1409095533.01,9798,1119982758.42,868369663.49,7954,825414575.93,652190956.21,,,,Lombardia
10,2022-03-31,11,Marche,3029,598209882.55,420297559.03,767,371159322.94,250351622.41,1275,137386079.84,103419687.94,987,89664479.77,66526248.68,,,,Marche
11,2022-03-31,14,Molise,806,153291339.16,100471701.67,162,78189712.92,49450452.00,399,49579685.49,32375259.10,245,25521940.75,18645990.57,,,,Molise
12,2022-03-31,01,Piemonte,9908,1699771504.10,1179428248.37,1607,806841781.42,537640026.22,6357,719874721.44,512010516.73,1942,171868904.10,129052938.84,2,1186097.14,724766.58,Piemonte
13,2022-03-31,16,Puglia,8264,1314801100.59,925109877.74,791,524687821.61,320186911.21,5931,634969716.48,489260031.00,1542,155143562.50,115662935.53,,,,Puglia
14,2022-03-31,20,Sardegna,4697,818381124.51,551136379.09,367,308154220.47,189468200.36,3073,370957361.87,263323020.60,1257,139269542.17,98345158.13,,,,Sardegna
15,2022-03-31,19,Sicilia,9569,1669696375.77,1146809133.02,1438,782762756.57,482152301.84,6267,697358063.17,517056692.64,1864,189575556.03,147600138.54,,,,Sicilia
16,2022-03-31,09,Toscana,10551,1494782056.28,1071445652.90,1301,575777327.15,383926968.38,4733,505718879.02,371096538.47,4517,413285850.11,316422146.05,,,,Toscana
17,2022-03-31,04,Trentino-Alto Adige/Südtirol,3242,655765316.15,498303108.51,1397,457795338.18,336024425.62,1254,142914023.67,116518302.16,591,55055954.30,45760380.73,,,,Trentino-Alto-Adige
18,2022-03-31,10,Umbria,2264,398497857.64,281583634.70,466,208791675.32,140543779.54,1102,120597999.44,89552937.80,696,69108182.88,51486917.36,,,,Umbria
19,2022-03-31,02,Valle d'Aosta/Vallée d'Aoste,342,70154743.92,48046929.57,149,50285211.70,33251478.28,144,15490859.77,11585100.83,49,4378672.45,3210350.46,,,,Valle d'Aosta
20,2022-03-31,05,Veneto,17756,2421719966.50,1805772508.59,1366,736187467.96,492953711.44,8352,926613444.18,708115490.52,8038,758919054.36,604703306.63,,,,Veneto
1,2022-04-30,13,Abruzzo,4142,937088318.66,604134690.25,992,601245422.22,362301059.07,1998,224302176.35,157261452.05,1152,111540720.09,84572179.13,,,,Abruzzo
2,2022-04-30,17,Basilicata,1633,419631828.14,289765657.27,495,286814849.83,196097699.59,793,94646697.06,68246287.32,344,38106741.64,25394642.75,1,63539.61,27027.61,Basilicata
3,2022-04-30,18,Calabria,6018,1087456098.22,755719009.91,909,507427085.52,320214895.94,3413,399233513.29,303114163.37,1696,180795499.41,132389950.60,,,,Calabria
4,2022-04-30,15,Campania,9200,2116939235.51,1322738966.89,2138,1299504168.97,745887332.01,5183,614861745.29,433903277.96,1879,202573321.25,142948356.92,,,,Campania
5,2022-04-30,08,Emilia-Romagna,12517,2246753704.06,1660749875.43,2315,1238410065.43,902476882.95,5846,616106742.20,458811542.80,4356,392236896.43,299461449.68,,,,Emilia-Romagna
6,2022-04-30,06,Friuli-Venezia Giulia,3973,524317733.49,381575644.19,305,177324932.64,111313438.24,2517,254558311.11,197748492.46,1151,92434489.74,72513713.49,,,,Friuli-Venezia Giulia
7,2022-04-30,12,Lazio,13902,2563900258.42,1648281490.21,1904,1290465720.59,726676237.59,6845,772323672.06,551749330.96,5153,501110865.77,369855921.66,,,,Lazio
8,2022-04-30,07,Liguria,1790,295094932.47,190398899.56,403,149882425.98,87483701.13,868,95802179.18,67287348.03,519,49410327.31,35627850.40,,,,Liguria
9,2022-04-30,03,Lombardia,23733,4564325412.14,3328232517.70,3941,2385026364.30,1623706914.36,10935,1255668349.29,972252340.28,8856,923536037.27,732178601.78,1,94661.28,94661.28,Lombardia
10,2022-04-30,11,Marche,3338,663512344.78,469513531.53,841,410009736.38,280479043.61,1404,153392059.92,114875640.57,1093,100110548.48,74158847.35,,,,Marche
11,2022-04-30,14,Molise,931,174189654.05,115683116.78,184,86851657.11,56491184.51,470,58127443.53,38116084.10,277,29210553.41,21075848.17,,,,Molise
12,2022-04-30,01,Piemonte,10849,1878923426.85,1305140404.90,1753,891273592.99,596511784.27,7000,798231537.13,567255025.26,2094,188232199.59,140648828.79,2,1186097.14,724766.58,Piemonte
13,2022-04-30,16,Puglia,9421,1519718504.04,1066137293.31,905,611515909.72,374255439.16,6808,735245918.05,562800401.11,1708,172956676.27,129081453.04,,,,Puglia
14,2022-04-30,20,Sardegna,5306,920091768.93,624020837.00,406,339361377.03,213598939.02,3497,423623520.13,300221564.35,1403,157106871.77,110200333.63,,,,Sardegna
15,2022-04-30,19,Sicilia,10949,1922080737.26,1310765849.55,1648,895796098.49,553426251.57,7159,807645233.01,589168932.07,2142,218639405.76,168170665.91,,,,Sicilia
16,2022-04-30,09,Toscana,11810,1658456604.84,1188906349.83,1435,625292140.20,422428462.48,5307,570528793.84,416414527.32,5068,462635670.80,350063360.03,,,,Toscana
17,2022-04-30,04,Trentino-Alto Adige/Südtirol,3434,702356097.08,531365161.90,1493,492299327.95,360676451.89,1324,151983158.96,122776986.43,617,58073610.17,47911723.58,,,,Trentino-Alto-Adige
18,2022-04-30,10,Umbria,2513,460880030.38,321920629.80,525,249428232.96,165854878.21,1230,136113335.99,99733701.42,758,75338461.43,56332050.17,,,,Umbria
19,2022-04-30,02,Valle d'Aosta/Vallée d'Aoste,364,75116628.93,51982749.52,161,53955994.67,36244168.53,152,16567227.77,12427615.73,51,4593406.49,3310965.26,,,,Valle d'Aosta
20,2022-04-30,05,Veneto,19720,2715361269.16,2028782597.53,1510,834922985.59,563737739.41,9224,1028301901.87,785497341.06,8986,852136381.70,679547517.06,,,,Veneto
1,2022-05-31,13,Abruzzo,4687,1041030426.39,672913474.46,1083,653732488.02,397946685.52,2337,263423532.04,181919009.70,1267,123874406.33,93047779.24,,,,Abruzzo
2,2022-05-31,17,Basilicata,1816,471312897.40,329940948.52,531,320723096.56,221899583.90,918,110245848.49,79475936.32,366,40280412.74,28538400.69,1,63539.61,27027.61,Basilicata
3,2022-05-31,18,Calabria,6728,1209638474.62,845667688.40,983,552360572.18,351967706.38,3856,456109585.24,346033181.24,1889,201168317.20,147666800.78,,,,Calabria
4,2022-05-31,15,Campania,10281,2370650256.67,1495067285.99,2395,1448789802.01,847798879.76,5830,699285236.69,490285080.41,2056,222575217.97,156983325.82,,,,Campania
5,2022-05-31,08,Emilia-Romagna,13658,2484608993.63,1843495207.41,2531,1376201133.41,1009516097.07,6423,684035527.49,507576607.27,4704,424372332.73,326402503.07,,,,Emilia-Romagna
6,2022-05-31,06,Friuli-Venezia Giulia,4352,574518094.97,423891041.35,327,190901225.57,126200680.46,2749,281407813.70,217110010.26,1276,102209055.70,80580350.63,,,,Friuli-Venezia Giulia
7,2022-05-31,12,Lazio,15504,2892988839.17,1862819098.80,2108,1463797422.12,828810150.02,7707,875493218.16,622939775.31,5689,553698198.89,411069173.47,,,,Lazio
8,2022-05-31,07,Liguria,1970,338307102.15,219319749.70,459,179834928.08,106732833.78,934,103119781.32,73012027.72,577,55352392.75,39574888.20,,,,Liguria
9,2022-05-31,03,Lombardia,26432,5094363867.62,3727104972.97,4305,2656390892.20,1817308514.04,12241,1406858274.72,1088450734.41,9885,1031020039.42,821251063.24,1,94661.28,94661.28,Lombardia
10,2022-05-31,11,Marche,3713,750502539.49,533363940.80,944,467099240.52,321176890.79,1566,172977363.64,129501484.76,1203,110425935.33,82685565.25,,,,Marche
11,2022-05-31,14,Molise,1055,201772907.85,132140809.06,203,101819336.32,64911222.22,548,68233210.09,44378077.73,304,31720361.44,22851509.11,,,,Molise
12,2022-05-31,01,Piemonte,11938,2084472777.23,1454316831.78,1932,989905577.30,668189655.11,7732,887856146.81,631124166.63,2271,205272966.99,154198517.42,3,1438086.13,804492.62,Piemonte
13,2022-05-31,16,Puglia,10635,1720422036.66,1211012869.23,1021,687858413.05,423942141.44,7735,842751321.29,644565561.53,1879,189812302.32,142505166.26,,,,Puglia
14,2022-05-31,20,Sardegna,5952,1039866604.18,708566595.28,449,381562572.05,245192460.21,3959,483447132.49,341090702.91,1544,174856899.64,122283432.16,,,,Sardegna
15,2022-05-31,19,Sicilia,12165,2163323791.49,1475941575.94,1829,1016232526.86,636716233.47,7978,906808539.99,655683139.89,2358,240282724.64,183542202.58,,,,Sicilia
16,2022-05-31,09,Toscana,13207,1859403791.61,1334710180.87,1599,697325354.87,478296650.53,5915,641477286.53,465386808.75,5693,520601150.21,391026721.59,,,,Toscana
17,2022-05-31,04,Trentino-Alto Adige/Südtirol,3534,735137118.90,554797806.50,1547,519632526.19,380268131.54,1359,156165082.35,125586521.86,628,59339510.36,48943153.10,,,,Trentino-Alto-Adige
18,2022-05-31,10,Umbria,2872,535620128.79,371288633.36,592,289655128.95,192265929.59,1431,161085612.01,116450806.41,849,84879387.83,62571897.36,,,,Umbria
19,2022-05-31,02,Valle d'Aosta/Vallée d'Aoste,396,85572994.42,58611300.62,167,61513064.64,41059847.24,169,18574903.16,13759030.32,60,5485026.62,3792423.06,,,,Valle d'Aosta
20,2022-05-31,05,Veneto,21555,2994425537.23,2244340130.26,1658,932338619.93,638886552.93,10057,1126117629.34,860077646.48,9840,935969287.96,745375930.85,,,,Veneto
1,2022-06-30,13,Abruzzo,5494,1228178610.95,802847848.70,1234,774360539.02,478857393.51,2841,317367271.38,218806301.37,1419,136450800.55,105184153.82,,,,Abruzzo
2,2022-06-30,17,Basilicata,2097,530562338.68,376801052.11,591,355666346.81,252114911.86,1096,131201738.06,93060952.07,409,43630714.20,31598160.57,1,63539.61,27027.61,Basilicata
3,2022-06-30,18,Calabria,7571,1366414890.37,961890555.95,1105,628392076.69,403758755.06,4385,522019586.02,393729318.42,2081,216003227.66,164402482.47,,,,Calabria
4,2022-06-30,15,Campania,11760,2713627038.51,1729343740.91,2701,1656733753.78,983927058.56,6758,813131996.78,568650775.24,2301,243761287.95,176765907.11,,,,Campania
5,2022-06-30,08,Emilia-Romagna,15834,2825588267.56,2118257161.49,2906,1567765938.41,1160658350.97,7598,786534069.86,588030754.73,5330,471288259.29,369568055.79,,,,Emilia-Romagna
6,2022-06-30,06,Friuli-Venezia Giulia,4995,666981987.11,499262893.48,391,236504220.56,158800104.71,3133,315479362.37,247059945.23,1471,114998404.18,93402843.54,,,,Friuli-Venezia Giulia
7,2022-06-30,12,Lazio,17905,3370568751.81,2185375892.14,2397,1714903298.78,988863045.26,9016,1027282715.35,725588643.82,6492,628382737.68,470924203.06,,,,Lazio
8,2022-06-30,07,Liguria,2305,397955303.82,258625359.37,526,217219111.21,128525815.30,1121,120628804.19,85074713.76,658,60107388.42,45024830.31,,,,Liguria
9,2022-06-30,03,Lombardia,30721,5892635202.03,4357320133.96,4906,3098790920.26,2148295487.66,14467,1630775552.44,1264222837.30,11347,1162981009.26,944714088.93,1,87720.07,87720.07,Lombardia
10,2022-06-30,11,Marche,4386,884160136.01,626149036.60,1096,553891372.31,377685023.66,1876,201976795.36,151743254.43,1414,128291968.34,96720758.51,,,,Marche
11,2022-06-30,14,Molise,1280,242834873.73,161585323.96,239,121505315.73,79918927.99,689,86448290.63,56235367.98,352,34881267.37,25431027.99,,,,Molise
12,2022-06-30,01,Piemonte,13980,2411612487.82,1692290556.43,2188,1135176273.77,764053315.24,9206,1044752991.55,751893014.08,2583,231070003.98,175809003.60,3,613218.52,535223.51,Piemonte
13,2022-06-30,16,Puglia,12487,2019576964.14,1431456831.22,1182,807637993.20,516779463.83,9144,996447234.86,750092289.61,2161,215491736.08,164585077.78,,,,Puglia
14,2022-06-30,20,Sardegna,6985,1174928928.97,812009961.15,482,401347086.84,269490023.04,4740,577837428.76,403560917.65,1763,195744413.37,138959020.46,,,,Sardegna
15,2022-06-30,19,Sicilia,13855,2471339645.64,1695162107.48,2038,1162494023.10,742231118.99,9153,1041052459.25,748091743.23,2664,267793163.29,204839245.26,,,,Sicilia
16,2022-06-30,09,Toscana,15326,2133660106.94,1548628767.58,1817,804913586.51,555842700.27,6962,737771729.16,544380894.09,6547,590974791.27,448405173.22,,,,Toscana
17,2022-06-30,04,Trentino-Alto Adige/Südtirol,3728,776905764.47,595265219.30,1626,556463183.89,413028655.51,1440,159690961.71,131310492.50,662,60751618.87,50926071.29,,,,Trentino-Alto-Adige
18,2022-06-30,10,Umbria,3301,615681318.91,428770003.44,677,335727088.34,221320976.92,1658,184447837.71,134524263.17,966,95506392.86,72924763.35,,,,Umbria
19,2022-06-30,02,Valle d'Aosta/Vallée d'Aoste,444,97126009.20,68434616.02,183,71122232.46,48901323.62,193,19984366.47,15312722.84,68,6019410.27,4220569.56,,,,Valle d'Aosta
20,2022-06-30,05,Veneto,24670,3390693809.03,2576551827.79,1882,1066856936.65,741596291.84,11667,1284963367.43,991912522.77,11121,1038873504.95,843043013.18,,,,Veneto
1,2022-07-31,13,Abruzzo,6161,1370186264.60,901051619.81,1362,857332051.91,535789227.42,3263,363744278.03,250615587.01,1536,149109934.66,114646805.38,,,,Abruzzo
2,2022-07-31,17,Basilicata,2317,580343176.25,417775496.28,648,386403596.19,278725425.98,1223,146622281.78,104954441.81,445,47253758.67,34068600.88,1,63539.61,27027.6,Basilicata
3,2022-07-31,18,Calabria,8303,1493163960.40,1066770056.39,1182,678721101.81,444769300.44,4835,577363466.24,439556862.59,2286,237079392.35,182443893.36,,,,Calabria
4,2022-07-31,15,Campania,13085,3016608163.27,1926217909.96,2970,1828756415.65,1091127143.16,7606,922779025.63,640650392.20,2509,265072721.99,194440374.60,,,,Campania
5,2022-07-31,08,Emilia-Romagna,18082,3265774002.61,2449621691.26,3314,1813704216.32,1350959003.40,8798,920134528.17,683335089.07,5970,531935258.12,415327598.79,,,,Emilia-Romagna
6,2022-07-31,06,Friuli-Venezia Giulia,5590,755773428.07,561920065.28,434,269183816.17,179237313.01,3521,357745272.45,278781788.68,1635,128844339.45,103900963.59,,,,Friuli-Venezia Giulia
7,2022-07-31,12,Lazio,19918,3790091314.89,2451076421.44,2643,1933787578.50,1118965735.73,10137,1159374687.39,812054597.28,7138,696929049.00,520056088.43,,,,Lazio
8,2022-07-31,07,Liguria,2669,488235509.26,309631292.84,598,276685465.55,158949085.07,1343,144901154.34,100697416.41,728,66648889.37,49984791.36,,,,Liguria
9,2022-07-31,03,Lombardia,34829,6732458312.81,4988581680.85,5481,3534235114.14,2468741686.17,16625,1888054100.15,1453748956.57,12722,1310081378.45,1066003318.04,1,87720.07,87720.0,Lombardia
10,2022-07-31,11,Marche,4989,989111567.84,707634828.78,1205,604537521.97,421460577.42,2191,238579733.46,176130677.69,1593,145994312.41,110043573.67,,,,Marche
11,2022-07-31,14,Molise,1460,273388373.33,183397047.16,257,133817858.54,89634913.51,808,100548258.67,65392412.53,395,39022256.12,28369721.12,,,,Molise
12,2022-07-31,01,Piemonte,15874,2755439377.85,1927721578.60,2427,1284453299.88,863649451.72,10615,1215936855.36,869084888.31,2829,254436004.09,194452015.06,3,613218.52,535223.5,Piemonte
13,2022-07-31,16,Puglia,14102,2272395860.64,1607593054.53,1314,896295597.44,582332912.60,10354,1131424879.72,839851828.77,2434,244675383.48,185408313.16,,,,Puglia
14,2022-07-31,20,Sardegna,7850,1307853081.00,904553386.81,523,436294295.55,293507507.51,5412,660111257.63,459494220.15,1915,211447527.82,151551659.15,,,,Sardegna
15,2022-07-31,19,Sicilia,15427,2755249356.02,1895517953.28,2224,1291882158.24,830916011.50,10285,1171023611.94,840871133.46,2918,292343585.84,223730808.32,,,,Sicilia
16,2022-07-31,09,Toscana,17429,2426498597.73,1751934590.63,2003,900879357.45,622413609.68,8101,860339562.85,628050435.16,7325,665279677.43,501470545.79,,,,Toscana
17,2022-07-31,04,Trentino-Alto Adige/Südtirol,3919,832521508.93,641766685.59,1706,599292457.56,447765902.43,1526,169997464.97,140281392.59,687,63231586.40,53719390.57,,,,Trentino-Alto-Adige
18,2022-07-31,10,Umbria,3705,698895672.07,493089589.62,746,381669434.81,261363949.68,1894,212134458.96,151969364.59,1065,105091778.30,79756275.35,,,,Umbria
19,2022-07-31,02,Valle d'Aosta/Vallée d'Aoste,493,116465579.75,79184297.17,204,87284170.94,57008823.86,217,22783321.06,17437770.91,72,6398087.75,4737702.40,,,,Valle d'Aosta
20,2022-07-31,05,Veneto,27749,3831532162.10,2906609479.97,2077,1188985211.18,832604560.05,13171,1463709757.85,1123977044.86,12501,1178837193.07,950027875.06,,,,Veneto
1,2022-08-31,13,Abruzzo,6747,1485307945.40,971211248.60,1436,915571419.89,569853662.51,3688,411258025.50,279802170.06,1623,158478500.01,121555416.03,,,,Abruzzo
2,2022-08-31,17,Basilicata,2561,629450066.15,452091582.30,688,411357206.22,298089093.14,1381,165703631.49,116913240.82,491,52325688.83,37062220.73,1,63539.61,27027.61,Basilicata
3,2022-08-31,18,Calabria,8881,1583756486.75,1130295466.44,1237,707595079.02,468384510.99,5232,625168749.18,471005687.81,2412,250992658.55,190905267.64,,,,Calabria
4,2022-08-31,15,Campania,14125,3223257075.18,2053397887.70,3117,1925341016.74,1151673992.11,8323,1013707612.79,694299801.33,2685,284208445.65,207424094.26,,,,Campania
5,2022-08-31,08,Emilia-Romagna,19886,3580678766.20,2676013253.80,3567,1968322854.16,1461831758.41,9806,1028763261.73,760750739.96,6513,583592650.31,453430755.43,,,,Emilia-Romagna
6,2022-08-31,06,Friuli-Venezia Giulia,6132,829218992.86,615600655.53,477,291412101.29,195480730.21,3877,396303167.68,306939439.31,1778,141503723.89,113180486.01,,,,Friuli-Venezia Giulia
7,2022-08-31,12,Lazio,21424,4066341169.43,2624384576.76,2777,2060116027.22,1196141310.68,11028,1259153764.43,874476263.42,7619,747071377.78,553767002.66,,,,Lazio
8,2022-08-31,07,Liguria,2993,542288371.34,345628629.14,645,301695799.70,175565958.27,1539,166756131.90,115168310.36,809,73836439.74,54894360.51,,,,Liguria
9,2022-08-31,03,Lombardia,37699,7258353694.43,5375937627.28,5822,3774025423.67,2647828632.21,18233,2075139329.85,1587420513.46,13643,1409101220.84,1140600761.54,1,87720.07,87720.07,Lombardia
10,2022-08-31,11,Marche,5524,1076620297.23,769154333.04,1285,642336829.94,449892419.40,2463,270201517.21,196450030.42,1776,164081950.08,122811883.22,,,,Marche
11,2022-08-31,14,Molise,1607,296658603.27,197081609.74,270,141774605.94,94391145.12,917,113584492.54,72629630.64,420,41299504.79,30060833.98,,,,Molise
12,2022-08-31,01,Piemonte,17392,3006549287.71,2102906540.60,2598,1373639014.33,928747104.66,11766,1356362173.19,964434946.53,3025,275934881.67,209189265.90,3,613218.52,535223.51,Piemonte
13,2022-08-31,16,Puglia,15280,2460033143.34,1729073402.55,1394,961829321.35,623452142.44,11225,1228336813.87,904461446.82,2661,269867008.12,201159813.29,,,,Puglia
14,2022-08-31,20,Sardegna,8620,1415709107.76,968780551.88,557,458027096.00,303319987.52,6008,732576000.65,504102592.64,2055,225106011.11,161357971.72,,,,Sardegna
15,2022-08-31,19,Sicilia,16743,2970362770.48,2027805488.88,2333,1365778446.28,873970276.55,11276,1290186984.66,915032032.93,3134,314397339.54,238803179.40,,,,Sicilia
16,2022-08-31,09,Toscana,18989,2625632089.29,1895969712.88,2110,952382613.53,661848160.10,8988,955334717.49,690549116.29,7891,717914758.27,543572436.49,,,,Toscana
17,2022-08-31,04,Trentino-Alto Adige/Südtirol,4113,878164820.33,681969275.95,1772,629898692.00,475242623.08,1620,181457406.15,149584715.20,721,66808722.18,57141937.67,,,,Trentino-Alto-Adige
18,2022-08-31,10,Umbria,4093,758950766.16,533695439.55,788,404255541.24,276780262.39,2134,240025164.04,170192549.96,1171,114670060.88,86722627.20,,,,Umbria
19,2022-08-31,02,Valle d'Aosta/Vallée d'Aoste,545,126501781.29,86264363.81,221,93353697.73,60745425.16,245,25997276.74,19985174.17,79,7150806.82,5533764.48,,,,Valle d'Aosta
20,2022-08-31,05,Veneto,30553,4204657804.42,3172371955.83,2227,1278790265.16,897894407.09,14648,1628641436.15,1241407759.57,13678,1297226103.11,1033069789.17,,,,Veneto
1,2022-09-30,13,Abruzzo,8690,1744997242.81,1123993191.64,1526,969440823.06,611067863.09,5224,586301202.34,373369229.20,1940,189255217.41,139556099.35,,,,Abruzzo
2,2022-09-30,17,Basilicata,3405,740508259.75,517022902.06,725,430403598.55,313379004.04,2026,241735804.34,158025191.32,653,68305317.25,45591679.09,1,63539.61,27027.61,Basilicata
3,2022-09-30,18,Calabria,11013,1853654235.31,1271098314.36,1284,737643126.02,487579427.98,6866,817381292.84,566885297.77,2863,298629816.45,216633588.61,,,,Calabria
4,2022-09-30,15,Campania,18306,3835337329.84,2360181525.72,3281,2038515501.91,1219642879.34,11789,1454030413.21,901859983.17,3236,342791414.72,238678663.21,,,,Campania
5,2022-09-30,08,Emilia-Romagna,24439,4218519877.88,3113883490.59,3905,2180848876.89,1621346868.16,12649,1330818716.88,955735321.66,7885,706852284.11,536801300.77,,,,Emilia-Romagna
6,2022-09-30,06,Friuli-Venezia Giulia,7543,1005149723.87,739172786.73,546,331180869.43,226181731.24,4887,502592573.79,379053953.74,2110,171376280.65,133937101.75,,,,Friuli-Venezia Giulia
7,2022-09-30,12,Lazio,26938,4780902760.30,3008349933.07,2949,2174673632.74,1270087962.13,14626,1685979082.19,1089114862.61,9362,920160614.48,649108811.39,1,89430.89,38296.94,Lazio
8,2022-09-30,07,Liguria,3930,682252995.44,424933067.83,728,355093755.62,205045391.98,2179,234758232.00,153276225.51,1023,92401007.82,66611450.34,,,,Liguria
9,2022-09-30,03,Lombardia,47288,8613063031.89,6234094775.18,6322,4108963751.56,2879378051.68,24372,2787225593.59,2017510785.54,16593,1716785966.67,1337118217.89,1,87720.07,87720.07,Lombardia
10,2022-09-30,11,Marche,7007,1255978349.14,881268325.71,1361,682433624.67,478433401.31,3428,370592097.47,254774849.43,2218,202952627.00,148060074.97,,,,Marche
11,2022-09-30,14,Molise,2022,347785556.67,224993581.29,282,147438686.30,98166196.36,1273,155027656.80,94126522.07,467,45319213.57,32700862.86,,,,Molise
12,2022-09-30,01,Piemonte,21995,3603840988.65,2479928833.58,2798,1456228548.38,1005806542.15,15535,1806014644.05,1223789357.62,3659,340998077.70,249811210.30,3,599718.52,521723.51,Piemonte
13,2022-09-30,16,Puglia,19744,3017676991.28,2034211523.69,1481,1029888192.05,670703253.16,14839,1641374780.64,1121506248.35,3424,346414018.59,242002022.18,,,,Puglia
14,2022-09-30,20,Sardegna,11440,1746291591.38,1149518266.17,583,468762912.78,316579729.06,8219,989837023.24,639294151.56,2638,287691655.36,193644385.55,,,,Sardegna
15,2022-09-30,19,Sicilia,21272,3555297562.01,2338136960.95,2456,1452958151.19,927440826.05,15092,1731154371.68,1139434177.61,3724,371185039.14,271261957.29,,,,Sicilia
16,2022-09-30,09,Toscana,23957,3174483036.86,2231141630.47,2268,1019860404.80,711746024.46,11899,1264650162.65,868882402.88,9790,889972469.41,650513203.13,,,,Toscana
17,2022-09-30,04,Trentino-Alto Adige/Südtirol,4724,972092412.58,761022586.04,1866,665584534.23,508993715.77,2011,227570382.27,184902384.34,847,78937496.08,67126485.93,,,,Trentino-Alto-Adige
18,2022-09-30,10,Umbria,5144,895802095.27,610269111.09,838,434412054.05,293640738.00,2860,321697476.99,214420058.60,1446,139692564.23,102208314.49,,,,Umbria
19,2022-09-30,02,Valle d'Aosta/Vallée d'Aoste,659,142942918.11,98136983.49,232,99908690.59,66347470.37,322,33652907.65,24810243.98,105,9381319.87,6979269.14,,,,Valle d'Aosta
20,2022-09-30,05,Veneto,37675,5026231151.80,3705463075.02,2407,1379715680.40,970413338.39,18689,2078788151.85,1524307539.87,16579,1567727319.55,1210742196.76,,,,Veneto
1,2022-10-31,13,Abruzzo,9255,1871089782.88,1221058758.70,1626,1042424807.67,664128233.53,5610,631667603.61,410566785.36,2019,196997371.60,146363739.81,,,,Abruzzo
2,2022-10-31,17,Basilicata,3608,789532889.29,553020791.92,770,461078112.61,335483251.48,2164,258160791.77,169795281.40,673,70230445.30,47715231.43,1,63539.61,27027.6,Basilicata
3,2022-10-31,18,Calabria,11602,1949869691.66,1356953263.35,1346,777506119.41,520199938.60,7297,864166568.57,608800989.05,2959,308197003.68,227952335.70,,,,Calabria
4,2022-10-31,15,Campania,19387,4152457268.00,2563775118.14,3540,2256401562.95,1345063106.93,12514,1542156063.48,969163405.11,3333,353899641.57,249548606.10,,,,Campania
5,2022-10-31,08,Emilia-Romagna,26228,4580490188.66,3411219121.75,4227,2386299837.26,1786794172.15,13614,1440010405.62,1043381634.73,8387,754179945.78,581043314.87,,,,Emilia-Romagna
6,2022-10-31,06,Friuli-Venezia Giulia,8176,1100834583.00,819181073.35,599,369089298.86,257083278.51,5317,548918216.88,416752882.08,2260,182827067.26,145344912.76,,,,Friuli-Venezia Giulia
7,2022-10-31,12,Lazio,28230,5079712105.92,3236583895.00,3121,2349352082.54,1382747076.21,15386,1773019611.26,1164190759.65,9722,957250981.23,689607762.20,1,89430.89,38296.9,Lazio
8,2022-10-31,07,Liguria,4311,768652693.57,482189461.58,795,408466683.35,238055452.49,2416,261348030.89,171136496.97,1100,98837979.33,72997512.12,,,,Liguria
9,2022-10-31,03,Lombardia,50161,9244468832.40,6776579779.57,6768,4460058878.36,3166567550.71,25984,2979972042.04,2182888636.52,17408,1804350191.93,1427035872.27,1,87720.07,87720.0,Lombardia
10,2022-10-31,11,Marche,7699,1373930354.79,966575107.73,1475,741591844.64,521080464.66,3822,412498372.22,283457875.03,2402,219840137.93,162036768.04,,,,Marche
11,2022-10-31,14,Molise,2150,371815554.03,243149077.11,304,160112472.17,107439110.72,1358,164590751.62,101221724.98,488,47112330.24,34488241.41,,,,Molise
12,2022-10-31,01,Piemonte,23590,3931522387.84,2757586550.50,3035,1626581825.36,1146582702.93,16689,1945208797.30,1342010401.58,3863,359132046.66,268471722.48,3,599718.52,521723.5,Piemonte
13,2022-10-31,16,Puglia,20878,3213869295.40,2190355679.95,1603,1120675695.31,736336664.85,15656,1728383636.81,1196449548.07,3619,364809963.28,257569467.03,,,,Puglia
14,2022-10-31,20,Sardegna,12104,1847771602.75,1229643608.52,618,493605970.07,336787514.84,8763,1057325862.74,689530821.36,2723,296839769.94,203325272.32,,,,Sardegna
