CUP,CIG,CIG_Accordo_Quadro
B34D22003660006,NULL,NULL
B34D22003690006,NULL,NULL
B34D22003730006,NULL,NULL
B34D22003770006,NULL,NULL
B34D22003780006,NULL,NULL
B34D22003790006,NULL,NULL
B34D22003810006,NULL,NULL
B34D22003890006,NULL,NULL
B34D22003930006,NULL,NULL
B34D22003950006,NULL,NULL
B34D22003960006,NULL,NULL
B34D22003990006,NULL,NULL
B34D22004010006,NULL,NULL
B34D22004030006,NULL,NULL
B34D22004050006,NULL,NULL
B34D22004100006,NULL,NULL
B34D22004130006,NULL,NULL
B34D22004150006,NULL,NULL
B34D22004170006,NULL,NULL
B34D23000820001,NULL,NULL
B34D23000840001,NULL,NULL
B34D23000850001,NULL,NULL
B34D23000860001,NULL,NULL
B34D23000870001,NULL,NULL
B34D23000880001,NULL,NULL
B34D23000890001,NULL,NULL
B34D23000900001,NULL,NULL
B34D23000910001,NULL,NULL
B34D23000920001,NULL,NULL
B34D23000930001,NULL,NULL
B34D23001070001,NULL,NULL
B34D23001080001,NULL,NULL
B34D23002760007,NULL,NULL
B34D23003470009,NULL,NULL
B34E22000690006,A05E48B46A,9188591929
B34H21000130001,NULL,NULL
B34J23000230001,9745406371,NULL
B37H21012390007,NULL,NULL
B39F20000510006,NULL,NULL
B39F21020360006,NULL,NULL
B39F21020370006,NULL,NULL
B39I23000360006,9742123E36,NULL
B39J21009990001,NULL,NULL
B39J21010000001,NULL,NULL
B39J21010010001,NULL,NULL
B39J21010290001,NULL,NULL
B39J21010500001,NULL,NULL
B39J21010590001,NULL,NULL
B39J21030620001,NULL,NULL
B39J21033100001,NULL,NULL
B39J21033280001,NULL,NULL
B39J22001370006,NULL,NULL
B39J22002100006,NULL,NULL
B39J22002200005,NULL,NULL
B41B23000120006,NULL,NULL
B41E22000300007,NULL,NULL
B43C22001030006,A0242E04BA,NULL
B43D21006060001,NULL,NULL
B44C23000000009,NULL,NULL
B44D22001700006,NULL,NULL
B44D22001760006,NULL,NULL
B44D22001770006,NULL,NULL
B44D22001780006,NULL,NULL
B44D22001790006,NULL,NULL
B44D22001810006,NULL,NULL
B44D22001840006,NULL,NULL
B44D22001850006,NULL,NULL
B44D22001860006,NULL,NULL
B44D22001870006,NULL,NULL
B44D22001880006,NULL,NULL
B44D22001890006,NULL,NULL
B44D22001910006,NULL,NULL
B44D22001940006,NULL,NULL
B44D22001950006,NULL,NULL
B44D22001960006,NULL,NULL
B44D22001980006,NULL,NULL
B44D22002000006,NULL,NULL
B44D22002110006,NULL,NULL
B44D22002140006,NULL,NULL
B44D22002150006,NULL,NULL
B44D22002170006,NULL,NULL
B44D22002200006,NULL,NULL
B44D22002280006,NULL,NULL
B44D22002350006,NULL,NULL
B44D22002360006,NULL,NULL
B44D22002390006,NULL,NULL
B44D22002410006,NULL,NULL
B44D22002470006,NULL,NULL
B44D22002570006,NULL,NULL
B44D22002590006,NULL,NULL
B44D22002680006,NULL,NULL
B44D22002700006,NULL,NULL
B44D23001640007,NULL,NULL
B44D23001650007,NULL,NULL
B44D23002560008,NULL,NULL
B44H22000230006,NULL,NULL
B48C21000010002,NULL,NULL
B49I23001220006,NULL,NULL
B49J21005250001,NULL,NULL
B49J21005310001,NULL,NULL
