CUP,CIG,CIG_Accordo_Quadro
C34D22001890006,NULL,NULL
C34D22001940006,NULL,NULL
C34D22001950006,NULL,NULL
C34D22002000006,NULL,NULL
C34D22002020006,NULL,NULL
C34D22002060006,NULL,NULL
C34D22002120006,NULL,NULL
C34D22002170006,NULL,NULL
C34D22002180006,NULL,NULL
C34D22002220006,NULL,NULL
C34D22002260006,NULL,NULL
C34D22002290006,NULL,NULL
C34D22002300006,NULL,NULL
C34D22002320006,NULL,NULL
C34D22002330006,NULL,NULL
C34D22002340006,NULL,NULL
C34D22002350006,NULL,NULL
C34D22002360006,NULL,NULL
C34D22002370006,NULL,NULL
C34D22002390006,NULL,NULL
C34D22002420006,NULL,NULL
C34D22002500006,NULL,NULL
C34D22002570006,NULL,NULL
C34D22002590006,NULL,NULL
C34D22002940006,NULL,NULL
C34D22003340006,NULL,NULL
C34D22004620006,NULL,NULL
C34D22004630006,NULL,NULL
C34D22004680006,NULL,NULL
C34D22004760006,NULL,NULL
C34D22004770006,NULL,NULL
C34D22004810006,NULL,NULL
C34D22004820006,NULL,NULL
C34D22004840006,NULL,NULL
C34D22004850006,NULL,NULL
C34D22004870006,NULL,NULL
C34D22004880006,NULL,NULL
C34D22004940006,NULL,NULL
C34D22004950006,NULL,NULL
C34D22004960006,NULL,NULL
C34D22004970006,NULL,NULL
C34D22005050006,NULL,NULL
C34D22005060006,NULL,NULL
C34D22005100006,NULL,NULL
C34D22005110006,NULL,NULL
C34D22005130006,NULL,NULL
C34D22005140006,NULL,NULL
C34D22005150006,NULL,NULL
C34D22005160006,NULL,NULL
C34D23003510006,NULL,NULL
C34D23003740006,NULL,NULL
C34D23003750006,NULL,NULL
C34E20003140001,NULL,NULL
C34E21001750006,91697648A1,8445000A74
C34E22000620006,NULL,NULL
C36G20000780001,NULL,NULL
C37H20003260001,NULL,NULL
C39G22012490002,NULL,NULL
C39J21033380001,NULL,NULL
C39J21033420001,NULL,NULL
C39J21033490001,NULL,NULL
C39J21033520001,NULL,NULL
C39J21033530001,NULL,NULL
C39J21033620001,NULL,NULL
C39J21033670001,NULL,NULL
C39J21033830001,NULL,NULL
C39J21033860001,NULL,NULL
C39J21033880001,NULL,NULL
C39J21033890001,NULL,NULL
C39J21034000001,NULL,NULL
C39J21043830001,NULL,NULL
C39J21043860001,A02E3D9B76,NULL
C39J21043950001,9489104058,NULL
C39J21043990001,NULL,NULL
C39J21044100001,NULL,NULL
C39J22002360006,NULL,NULL
C41B21007680006,NULL,NULL
C41B24000100005,NULL,NULL
C41D22000660006,NULL,NULL
C41I24000340001,NULL,NULL
C41I24000350001,NULL,NULL
C41J22000420006,NULL,NULL
C43C22001380007,NULL,NULL
C43C22001400007,NULL,NULL
C43C22001470006,NULL,NULL
C44D22001280006,NULL,NULL
C44D22001290006,NULL,NULL
C44D22001300006,NULL,NULL
C44D22001310006,NULL,NULL
C44D22001320006,NULL,NULL
C44D22001350006,NULL,NULL
C44D22001360006,NULL,NULL
C44D22001390006,NULL,NULL
C44D22001420006,NULL,NULL
C44D22001430006,NULL,NULL
C44D22001450006,NULL,NULL
C44D22001460006,NULL,NULL
C44D22001470006,NULL,NULL
C44D22001490006,NULL,NULL
C44D22001500006,NULL,NULL
C44D22001530006,NULL,NULL
C44D22001540006,NULL,NULL
C44D22001560006,NULL,NULL
C44D22001580006,NULL,NULL
C44D22001590006,NULL,NULL
C44D22001620006,NULL,NULL
C44D22001630006,NULL,NULL
C44D22001640006,NULL,NULL
C44D22001670006,NULL,NULL
C44D22001680006,NULL,NULL
C44D22001700006,NULL,NULL
C44D22001710006,NULL,NULL
C44D22001790006,NULL,NULL
C44D22001800006,NULL,NULL
C44D22001810006,NULL,NULL
C44D22001840006,NULL,NULL
C44D22001850006,NULL,NULL
C44D22001900006,NULL,NULL
C44D22001930006,NULL,NULL
C44D22001960006,NULL,NULL
C44D22001980006,NULL,NULL
C44D22001990006,NULL,NULL
C44D22002000006,NULL,NULL
C44D22002020006,NULL,NULL
C44D22002030006,NULL,NULL
C44D22002050006,NULL,NULL
C44D22002070006,NULL,NULL
C44D22002080006,NULL,NULL
C44D22002090006,NULL,NULL
