name,numero complessivo,numero non disponibili,doccia,bidet,portatori di handicap,servizi igienici con porta,accensione luce autonoma,prese elettriche
MII152284,213,0,128,175,3,213,100,0
MII157783,112,86,22,112,1,112,22,22
MII158895,492,178,272,184,0,327,325,325
MII158901,50,6,20,20,0,50,40,40
MII158910,247,23,192,42,0,247,228,0
MII158919,75,9,5,74,0,75,75,0
MII158924,241,2,7,63,0,241,241,241
MII158935,62,0,62,0,0,62,62,62
MII158941,111,0,102,98,3,111,101,101
MII158944,98,0,24,0,0,98,98,98
MII158945,40,10,40,0,0,40,40,40
MII158948,57,38,9,3,1,56,57,54
MII159053,133,9,121,64,4,133,81,125
MII159060,53,0,53,53,0,53,53,53
MII159065,65,3,19,59,0,63,4,13
MII159069,190,1,0,190,0,190,179,190
MII159314,339,22,75,0,3,339,25,339
MII160204,230,6,230,0,0,230,1,230
MII169535,157,3,157,157,0,157,157,157
MII172011,211,12,187,61,3,210,82,84
MII172187,90,6,82,65,3,90,41,28
MII172208,334,46,41,154,0,334,333,334
MII172222,128,40,84,72,5,98,78,128
MII172277,51,1,1,51,0,51,0,51
MII172320,177,13,154,170,0,177,177,176
MII172332,258,2,70,195,4,258,258,70
MII172344,707,3,185,707,8,707,707,705
MII172508,446,7,130,58,2,446,89,15
MII172580,31,0,1,0,0,19,5,30
MII172592,100,0,91,0,0,100,100,0
MII172610,71,1,71,0,0,71,10,71
MII172623,72,11,62,26,2,72,72,72
MII172814,167,13,48,23,0,167,161,167
MII172827,192,1,113,53,2,192,192,192
MII172835,282,0,278,22,26,282,282,282
MII173006,215,70,186,70,0,215,215,195
MII173063,111,0,108,103,2,111,110,108
MII173088,73,8,45,60,1,73,73,73
MII173101,280,26,140,139,6,164,279,137
MII173114,118,70,22,108,0,118,118,118
MII173237,57,12,45,34,2,57,57,45
MII173259,40,0,25,0,0,40,2,2
MII173265,120,1,2,20,0,120,120,1
MII173285,127,5,123,0,0,127,0,0
MII173301,106,0,94,35,2,106,51,106
MII173311,392,32,208,23,22,391,208,392
MII173324,33,0,33,0,2,33,33,33
MII173341,93,8,92,84,2,93,93,93
MII173356,23,0,22,3,1,23,23,23
MII173364,33,0,33,6,1,33,33,4
MII173688,60,16,40,50,0,60,60,60
MII173712,200,3,55,177,0,200,4,4
MII173747,252,10,68,216,4,252,77,77
MII173764,218,49,191,1,6,218,193,193
MII173784,9,0,9,9,0,9,0,0
MII173813,79,2,39,0,2,79,78,78
MII173994,33,0,33,0,2,33,33,33
MII174501,22,0,0,22,0,11,0,0
MII174686,234,0,37,197,0,234,234,234
MII174720,358,101,62,29,0,358,345,351
MII174825,51,8,0,0,0,51,9,0
MII176375,213,9,71,13,1,198,7,211
MII176403,123,8,0,44,0,123,113,123
MII176414,48,0,38,3,1,48,13,10
MII176424,123,81,42,0,1,33,34,122
MII176437,334,52,84,330,4,334,334,70
MII176451,48,0,48,48,0,48,1,46
MII176703,96,11,96,96,2,96,96,53
MII176714,58,7,58,0,0,58,0,0
MII176719,17,0,17,16,0,17,17,17
MII176743,9,0,1,0,0,9,1,1
MII176749,41,0,41,3,1,41,41,41
MII176759,24,0,4,24,0,24,24,24
MII176771,30,4,30,11,0,30,26,30
MII176781,189,6,0,0,1,189,188,15
MII176788,92,48,92,6,0,92,92,92
MII177107,192,0,10,32,0,192,29,18
MII177118,14,0,14,0,0,14,11,0
MII177134,216,2,12,43,0,216,12,6
MII177323,106,24,53,0,0,106,9,4
MII177332,65,0,65,32,0,65,53,0
MII177346,37,0,37,37,0,37,37,37
MII177384,20,0,20,20,0,20,20,20
MII177420,654,50,81,654,8,654,654,653
MII177436,40,0,40,0,0,40,40,40
MII177463,296,179,78,83,4,230,230,43
MII177498,55,0,55,0,0,55,55,55
MII177996,40,0,40,0,0,40,40,40
MII178003,64,23,57,2,0,64,57,57
MII178027,30,3,27,0,0,29,30,7
MII178035,59,18,5,7,4,59,59,8
MII178045,81,0,0,0,0,38,1,0
MII178072,56,3,5,4,0,56,4,56
MII178085,109,4,108,98,8,109,109,109
MII178115,24,0,24,24,0,24,24,24
MII178124,49,3,49,49,0,49,49,49
MII178141,122,0,14,109,0,122,122,1
MII178148,134,50,134,75,21,134,134,134
MII178501,40,1,3,2,0,40,40,40
MII178638,264,1,204,15,3,264,264,66
MII178659,317,3,32,273,1,317,317,67
MII178666,598,113,348,142,12,536,536,529
MII178672,844,14,251,243,8,840,724,844
MII178681,98,0,98,0,0,98,98,98
MII178700,102,0,10,0,0,100,102,102
MII179224,154,59,101,55,3,154,101,96
MII179237,818,18,230,625,4,818,226,236
MII179274,138,1,138,9,6,138,138,132
