Data_Report,URL
2024-01-31,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_31-01-2024.pdf
2024-02-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-02-2024.pdf
2024-02-29,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_29-02-2024.pdf
2024-03-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-03-2024.pdf
2024-03-31,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_31.03.2024.pdf
2024-04-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-04-2024.pdf
2024-04-30,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_30-04-2024_1.pdf
2024-05-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-05-2024.pdf
2024-05-31,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_31-05-2024.pdf
2024-06-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-06-2024.pdf
2024-06-30,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_30-06-2024_0.pdf
2024-07-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-07-2024.pdf
2024-07-31,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_31-07-2024.pdf
2024-08-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-08-2024.pdf
2024-08-31,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_31-08-2024.pdf
2024-09-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-09-2024.pdf
2024-09-30,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_30-09-2024.pdf
2024-10-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-10-2024.pdf
2024-10-31,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_31-10-2024_1.pdf
2024-11-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-11-2024.pdf
2024-11-30,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_30-11-2024.pdf
2024-12-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-12-2024_0.pdf
2024-12-31,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_31-12-2024_fine_mese.pdf
2025-01-15,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_15-01-2025_0.pdf
2025-01-31,http://www.libertaciviliimmigrazione.dlci.interno.gov.it/sites/default/files/allegati/cruscotto_statistico_giornaliero_31-01-2025.pdf
