Data_Report,Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Immigrati presenti nei centri SAI
2019-09-30,Abruzzo,,1364,527,
2019-09-30,Basilicata,,1141,488,
2019-09-30,Calabria,,2029,2037,
2019-09-30,Campania,,6107,1956,
2019-09-30,Emilia-Romagna,,7514,2250,
2019-09-30,Friuli-Venezia Giulia,,2732,356,
2019-09-30,Lazio,,6292,2806,
2019-09-30,Liguria,,3200,718,
2019-09-30,Lombardia,,11701,2105,
2019-09-30,Marche,,1733,972,
2019-09-30,Molise,,684,606,
2019-09-30,Piemonte,,7198,1693,
2019-09-30,Puglia,0,2338,2179,
2019-09-30,Sardegna,,1445,233,
2019-09-30,Sicilia,487,3708,3018,
2019-09-30,Toscana,,5742,1283,
2019-09-30,Trentino-Alto Adige,,1929,357,
2019-09-30,Umbria,,1332,387,
2019-09-30,Valle d'Aosta,,161,25,
2019-09-30,Veneto,,6088,678,
2019-10-15,Abruzzo,,1318,484,
2019-10-15,Basilicata,,1087,499,
2019-10-15,Calabria,,2067,2000,
2019-10-15,Campania,,6063,1812,
2019-10-15,Emilia-Romagna,,7444,2216,
2019-10-15,Friuli-Venezia Giulia,,2556,353,
2019-10-15,Lazio,,6233,2811,
2019-10-15,Liguria,,3174,715,
2019-10-15,Lombardia,,11556,2108,
2019-10-15,Marche,,1717,914,
2019-10-15,Molise,,610,632,
2019-10-15,Piemonte,,7134,1748,
2019-10-15,Puglia,0,2246,2260,
2019-10-15,Sardegna,,1385,230,
2019-10-15,Sicilia,391,3643,3051,
2019-10-15,Toscana,,5586,1303,
2019-10-15,Trentino-Alto Adige,,1877,362,
2019-10-15,Umbria,,1315,373,
2019-10-15,Valle d'Aosta,,153,25,
2019-10-15,Veneto,,5942,681,
2019-10-31,Abruzzo,,1298,484,
2019-10-31,Basilicata,,1061,499,
2019-10-31,Calabria,,2029,2000,
2019-10-31,Campania,,5887,1812,
2019-10-31,Emilia-Romagna,,7377,2216,
2019-10-31,Friuli-Venezia Giulia,,2650,353,
2019-10-31,Lazio,,5963,2811,
2019-10-31,Liguria,,3141,715,
2019-10-31,Lombardia,,11404,2108,
2019-10-31,Marche,,1690,914,
2019-10-31,Molise,,576,632,
2019-10-31,Piemonte,,7110,1748,
2019-10-31,Puglia,0,2413,2260,
2019-10-31,Sardegna,,1341,230,
2019-10-31,Sicilia,350,3494,3051,
2019-10-31,Toscana,,5420,1303,
2019-10-31,Trentino-Alto Adige,,1831,362,
2019-10-31,Umbria,,1274,373,
2019-10-31,Valle d'Aosta,,145,25,
2019-10-31,Veneto,,5831,681,
2019-11-15,Abruzzo,,1253,494,
2019-11-15,Basilicata,,1040,495,
2019-11-15,Calabria,,2268,1973,
2019-11-15,Campania,,5742,1818,
2019-11-15,Emilia-Romagna,,7322,2210,
2019-11-15,Friuli-Venezia Giulia,,2648,333,
2019-11-15,Lazio,,6013,2837,
2019-11-15,Liguria,,3125,695,
2019-11-15,Lombardia,,11280,2081,
2019-11-15,Marche,,1607,955,
2019-11-15,Molise,,513,672,
2019-11-15,Piemonte,,7000,1739,
2019-11-15,Puglia,0,2472,2363,
2019-11-15,Sardegna,,1294,229,
2019-11-15,Sicilia,62,3472,2964,
2019-11-15,Toscana,,5251,1305,
2019-11-15,Trentino-Alto Adige,,1812,361,
2019-11-15,Umbria,,1242,344,
2019-11-15,Valle d'Aosta,,133,24,
2019-11-15,Veneto,,5638,676,
2019-11-30,Abruzzo,,1218,494,
2019-11-30,Basilicata,,1022,495,
2019-11-30,Calabria,,2222,1973,
2019-11-30,Campania,,5641,1818,
2019-11-30,Emilia-Romagna,,7252,2210,
2019-11-30,Friuli-Venezia Giulia,,2573,333,
2019-11-30,Lazio,,5882,2837,
2019-11-30,Liguria,,3102,695,
2019-11-30,Lombardia,,11178,2081,
2019-11-30,Marche,,1581,955,
2019-11-30,Molise,,469,672,
2019-11-30,Piemonte,,6875,1739,
2019-11-30,Puglia,37,2417,2363,
2019-11-30,Sardegna,,1256,229,
2019-11-30,Sicilia,444,3489,2964,
2019-11-30,Toscana,,5105,1305,
2019-11-30,Trentino-Alto Adige,,1790,361,
2019-11-30,Umbria,,1179,344,
2019-11-30,Valle d'Aosta,,129,24,
2019-11-30,Veneto,,5591,676,
2019-12-15,Abruzzo,,1210,457,
2019-12-15,Basilicata,,981,507,
2019-12-15,Calabria,,2173,1963,
2019-12-15,Campania,,5524,1777,
2019-12-15,Emilia-Romagna,,7135,2340,
2019-12-15,Friuli-Venezia Giulia,,2456,355,
2019-12-15,Lazio,,5841,2749,
2019-12-15,Liguria,,3028,695,
2019-12-15,Lombardia,,10728,2104,
2019-12-15,Marche,,1528,942,
2019-12-15,Molise,,414,637,
2019-12-15,Piemonte,,6780,1686,
2019-12-15,Puglia,0,2351,2342,
2019-12-15,Sardegna,,1224,233,
2019-12-15,Sicilia,161,3525,2913,
