"tipo_id","tipo_label","n","titolo","data_pubblicazione","download_titolo","download_url"
"OC","ordinanze commissariali","1","Schema tipo di convenzione per l'istituzione dell'ufficio comune denominato ""Ufficio speciale per la ricostruzione post sisma 2016"" di cui all'art. 3 del Decreto Legge 17 ottobre 2016, n. 189","","Ordinanza n. 1 del 10 Novembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-1-del-10-novembre-2016-e-schema-di-Convenzione.pdf"
"OC","ordinanze commissariali","2","Approvazione degli schemi di convenzione con Fintecna SpA e con l'Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa SpA - INVITALIA per l'individuazione del personale da adibire alle attività di supporto tecnico-igegneristico e di tipo amministrativo-contabile finalizzate a fronteggiare le esigenze delle popolazioni colpite dagli eventi sismici del 24 agosto 2016 nei territori delle Regioni Abruzzo, Lazio, Marche ed Abruzzo.","","Ordinanza n. 2 del 10 novembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/ordinanza-n.-2-del-2016-approvazione-schemi-di-convenzione.pdf"
"OC","ordinanze commissariali","3","Individuazione dei comuni ai quali è estesa l'applicazione delle misure di cui al Decreto Legge 17 ottobre 2016 n. 189, a seguito degli ulteriori eventi sismici del 26 e del 30 ottobre 2016","","Ordinanza n. 3 del 15 Novembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-3-15.11.2016.pdf"
"OC","ordinanze commissariali","4","Riparazione immediata di edifici e unità immobiliari ad uso abitativo e produttivo danneggiati dagli eventi sismici del 24 agosto 2016 e successivi temporaneamente inagibili","","Ordinanza n. 4 del 17 Novembre 2016","https://www.gazzettaufficiale.it/eli/id/2016/11/28/16A08275/sg"
"OC","ordinanze commissariali","5","Delocalizzazione immediata e temporanea di stalle, fienili e depositi danneggiati dagli eventi sismici del 26 e 30 ottobre 2016 e dichiarati inagibili","","Ordinanza n. 5 del 28 novembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-5-del-2016-delocalizzazione-stalle-versione-finale.pdf"
"OC","ordinanze commissariali","6","Linee direttive per la ripartizione e l’assegnazione del personale tecnico e amministrativo da assumere nelle Regioni e nei Comuni danneggiati dagli eventi sismici che hanno colpito le Regioni Abruzzo, Lazio, Marche e Umbria a far data dal 24 agosto 2016","","Ordinanza n. 6 del 28 novembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-6-del-assegnazione-personale.pdf"
"OC","ordinanze commissariali","7","Approvazione del Prezzario Unico Cratere Centro Italia 2016","","Ordinanza n. 7 del 14 Dicembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-7-Prezzario-Unico.pdf"
"OC","ordinanze commissariali","8","Determinazione del contributo concedibile per gli interventi immediati di riparazione e rafforzamento locale su edifici che hanno subito danni lievi a causa degli eventi sismici del 24 agosto 2016 e successivi","","Ordinanza n. 8 del 14 dicembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n-8-Determinazione-del-contributo-concedibile-per-gli-interventi-immediati-di-riparazione-e-rafforzamento-locale-coordinati-fino-alla-N.-62-1.pdf"
"OC","ordinanze commissariali","9","Delocalizzazione immediata e temporanea delle attività economiche danneggiate dagli eventi sismici del 24 agosto, 26 e 30 ottobre 2016","","Ordinanza n. 9 del 14 dicembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/ordinanza-n-9-delocalizzazione-delle-attività-economiche.pdf"
"OC","ordinanze commissariali","10","Disposizioni concernenti i rilievi di agibilità post sismica conseguenti agli eventi sismici che hanno colpito il territorio delle Regioni Lazio, Marche, Umbria e Abruzzo a partire dal giorno 24 agosto 2016.","","Ordinanza n. 10 del 19 dicembre 2016","https://sisma2016.gov.it/wp-content/uploads/2019/12/Ordinanza-n.-10.pdf"
