cup,cig,url_cig
B11B23000110001,A0059785CC,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=A0059785CC
B11B23000110001,B58E8B8EE5,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B58E8B8EE5
B12B22000110001,Z2F361CFA1,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z2F361CFA1
B12B22000110001,B45009EF44,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B45009EF44
B12B22000110001,Z3B3A036B3,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z3B3A036B3
B12B22000110001,97350934E2,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=97350934E2
B12C18000160001,A0056E779F,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=A0056E779F
B12C18000170001,A00573EF68,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=A00573EF68
B12C18000170001,B9DAC22AE4,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B9DAC22AE4
B12C18000170001,B91E1B0488,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B91E1B0488
B12C21000750001,A0662E26B3,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=A0662E26B3
B12C21000750001,9236360564,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=9236360564
B12C21000750001,923629930E,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=923629930E
B12C21000750001,9236333F19,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=9236333F19
B12C21000750001,9236349C4E,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=9236349C4E
B12C21000750001,B1B556A487,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B1B556A487
B12C21000800001,9961731879,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=9961731879
B12C21000800001,B299D7004E,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B299D7004E
B12C21000800001,B299E8333D,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B299E8333D
B12C21000800001,B299E0AF5F,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B299E0AF5F
B12C21000800001,B971029855,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B971029855
B12E20000110001,B816AE5C48,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B816AE5C48
B12E20000110001,B8031165C0,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B8031165C0
B12E20000110001,A005990999,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=A005990999
B12E20000160001,B3357F7FD2,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B3357F7FD2
B12E20000160001,ZA53BE109C,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZA53BE109C
B12J20001210001,8593387F46,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=8593387F46
B12J20001210001,ZE131619A8,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZE131619A8
B12J20001210001,Z093161949,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z093161949
B13B19000290001,ZD8326F246,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZD8326F246
B13B19000290001,B9CFC9B15E,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B9CFC9B15E
B13B19000290001,ZC62DC7821,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZC62DC7821
B13B19000290001,Z702B786E1,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z702B786E1
B13B19000290001,Z5A33A9388,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z5A33A9388
B13B20000180001,Z7E3492A09,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z7E3492A09
B13B20000180001,ZB234942D6,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZB234942D6
B13B20000190001,903983215C,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=903983215C
B13D22001340001,9686056246,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=9686056246
B13D22001340001,B5CF40D0F7,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B5CF40D0F7
B13D22001340001,B7FE9F20BD,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=B7FE9F20BD
B13D22001340001,9686108D2C,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=9686108D2C
B13F21000070001,Z833490525,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z833490525
B13F21000070001,ZC2349008E,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZC2349008E
B13H18000270001,Z262CDA5BB,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z262CDA5BB
B13H18000270001,ZB925BA580,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZB925BA580
B13H18000270001,ZD325A1989,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZD325A1989
B14F18000370002,8427709D77,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=8427709D77
B14F18000370002,8380789DDB,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=8380789DDB
B14F18000370002,Z63335D146,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z63335D146
B14F18000370002,Z20290055A,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=Z20290055A
B14J18000380005,8631330ED4,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=8631330ED4
B14J18000380005,ZE220EE045,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZE220EE045
B14J18000380005,ZE220EE045,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=ZE220EE045
B14J18000380005,8631330ED4,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=8631330ED4
B14J18000380005,9707793436,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=9707793436
B14J18000380005,9707793436,https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=9707793436
